,name,obsid,main_type,AGN,Candidate_XB*,Orion_V*,QSO,YSO
12856,2CXO J104554.8-595644,9492,YSO,0.10768644170815367,0.03372273888782068,0.06544517844070954,0.03236635112713716,0.760779289836179
12858,2CXO J104555.2-595649,9488,YSO,0.07900184024648746,0.0758498785287774,0.1511111674860573,0.03532093680629685,0.658716176932381
12859,2CXO J104555.2-595649,9817,YSO,0.07667646225682762,0.02992569003706498,0.06394236561299611,0.020880080912901142,0.8085754011802101
12860,2CXO J104555.2-595649,9492,YSO,0.10768644170815367,0.03372273888782068,0.06544517844070954,0.03236635112713716,0.760779289836179
12862,2CXO J104555.6-595649,9488,YSO,0.07900184024648746,0.0758498785287774,0.1511111674860573,0.03532093680629685,0.658716176932381
12863,2CXO J104555.6-595649,9817,YSO,0.07667646225682762,0.02992569003706498,0.06394236561299611,0.020880080912901142,0.8085754011802101
12864,2CXO J104555.6-595649,9492,YSO,0.10768644170815367,0.03372273888782068,0.06544517844070954,0.03236635112713716,0.760779289836179
12866,2CXO J104555.7-595952,9483,Orion_V*,0.0426236333947793,0.012267409629779817,0.5128710675137228,0.03783711855448064,0.3944007709072375
12867,2CXO J104555.7-595952,9488,YSO,0.03330902130128983,0.0021455281813587096,0.1965205582340411,0.009624063539170329,0.75840082874414
12869,2CXO J104557.1-595639,9488,YSO,0.07900184024648746,0.0758498785287774,0.1511111674860573,0.03532093680629685,0.658716176932381
12870,2CXO J104557.1-595639,9817,YSO,0.07667646225682762,0.02992569003706498,0.06394236561299611,0.020880080912901142,0.8085754011802101
12871,2CXO J104557.1-595639,9492,YSO,0.10768644170815367,0.03372273888782068,0.06544517844070954,0.03236635112713716,0.760779289836179
12878,2CXO J104557.2-595947,9488,YSO,0.03330902130128983,0.0021455281813587096,0.1965205582340411,0.009624063539170329,0.75840082874414
12879,2CXO J104557.8-600013,9488,YSO,0.03330902130128983,0.0021455281813587096,0.1965205582340411,0.009624063539170329,0.75840082874414
12880,2CXO J104557.9-595651,9488,YSO,0.07900184024648746,0.0758498785287774,0.1511111674860573,0.03532093680629685,0.658716176932381
12881,2CXO J104557.9-595651,9817,YSO,0.07667646225682762,0.02992569003706498,0.06394236561299611,0.020880080912901142,0.8085754011802101
12882,2CXO J104557.9-595651,9492,YSO,0.10768644170815367,0.03372273888782068,0.06544517844070954,0.03236635112713716,0.760779289836179
12885,2CXO J104559.4-600012,9488,YSO,0.03330902130128983,0.0021455281813587096,0.1965205582340411,0.009624063539170329,0.75840082874414
12895,2CXO J104620.2+133131,12808,AGN,0.45731608513459254,0.002777383984820991,0.09108919227036028,0.3607559979906159,0.08806134061961025
12897,2CXO J104629.5-602211,9494,Orion_V*,0.00019324100821412922,0.019340051534065993,0.5420590338215368,1.4983265324104688e-05,0.4383926903708591
12898,2CXO J104629.5-602211,9495,YSO,0.057037568268114985,0.0011744889622674526,0.29195516375437325,0.013061855198104195,0.6367709238171401
12899,2CXO J104630.4-602231,9495,YSO,0.057037568268114985,0.0011744889622674526,0.29195516375437325,0.013061855198104195,0.6367709238171401
12901,2CXO J104632.1+134528,12808,QSO,0.21699066441415582,0.07928468977140717,0.1778965212198255,0.38636594279127895,0.1394621818033327
12904,2CXO J104641.9-600849,9483,YSO,0.24792922546863638,0.0005501111850930708,0.05007088558830204,0.11380440010293763,0.5876453776550309
12905,2CXO J104642.3-600904,9483,YSO,0.24792922546863638,0.0005501111850930708,0.05007088558830204,0.11380440010293763,0.5876453776550309
12908,2CXO J104645.4-600951,9485,Orion_V*,0.17895308614056799,0.010270172266308697,0.32316072970171195,0.19511743515864247,0.29249857673276897
12909,2CXO J104646.6+123357,7074,QSO,0.35987348708975014,0.0018658843799941218,0.11931896212467434,0.42390606573985007,0.09503560066573132
12910,2CXO J104646.6+123357,7075,AGN,0.4172217810371964,0.0013412007480211956,0.09673956590917605,0.3464691386408642,0.1382283136647421
12915,2CXO J104709.3+122320,7074,AGN,0.290000539437192,0.007438210070408682,0.16573278622468923,0.2891273381661959,0.24770112610151412
12922,2CXO J104719.8+593224,5031,QSO,0.2590493529483233,0.03669792823741794,0.19366925981641167,0.2774996619473226,0.23308379705052448
12924,2CXO J104731.4-593234,9489,AGN,0.29717641027590097,0.0983368780031857,0.2228725693395796,0.15452314197063874,0.2270910004106949
12926,2CXO J104735.6-250311,12290,QSO,0.27297889779299767,0.03833183015863431,0.17179285128640695,0.3693550271494251,0.14754139361253593
12929,2CXO J104738.3+140603,2934,AGN,0.37198366676750916,0.00717164728910268,0.09235036739221612,0.3395441434751804,0.18895017507599168
12936,2CXO J104743.4+140108,2934,Orion_V*,0.05009994190257869,0.19634164652652902,0.49580928581056055,0.08656759980616432,0.1711815259541675
12939,2CXO J104745.8-250336,12290,AGN,0.4665202609242701,0.0014206522621296258,0.06916288883729417,0.2548862213393748,0.2080099766369313
12948,2CXO J104749.9+123456,7075,QSO,0.15558726641456974,0.09628522913090963,0.2690220318356268,0.32195583720114235,0.1571496354177515
12949,2CXO J104750.2+140732,2934,YSO,0.21299649754671957,0.13219705660749084,0.14140960989975684,0.21609431306594334,0.2973025228800895
12954,2CXO J104754.2+123222,13829,AGN,0.5053325465308688,0.0018895738254244272,0.07504678838189574,0.25660537087692664,0.16112572038488446
12955,2CXO J104757.4+510121,10534,QSO,0.22175538393877353,0.12497763756613332,0.16250340356282547,0.3218167121296017,0.1689468628026658
12956,2CXO J104757.7+124956,7076,QSO,0.31889899688895407,0.0005837827661463415,0.06310772931487002,0.47585402982633057,0.1415554612036991
12964,2CXO J104807.0+123144,13829,QSO,0.27964083871179407,0.06730941400968721,0.14784757407805496,0.2800171453425271,0.22518502785793676
12969,2CXO J104814.3+124541,7073,AGN,0.3877948661951561,0.015605110203932697,0.15559592466828165,0.2851636710397555,0.1558404278928742
12970,2CXO J104814.3+124541,7076,YSO,0.30496723282695143,0.0044357040705365275,0.16783879676306032,0.21440468819215922,0.3083535781472924
12971,2CXO J104814.3+124541,7074,AGN,0.5014418670250828,0.00097974233011946,0.07507046772883139,0.27936922740013936,0.14313869551582703
12972,2CXO J104814.3+124541,7075,AGN,0.4417362098593246,0.0005242540975963321,0.05098866130091021,0.3605507360105826,0.1462001387315862
12976,2CXO J104819.6+124415,13829,AGN,0.5328142445226987,0.0021773672557483014,0.07820327692425298,0.21762685990567204,0.16917825139162798
12977,2CXO J104822.6-250542,12290,AGN,0.3320607493551167,0.01758814868085719,0.16165090853067385,0.1866461000166877,0.3020540934166645
12982,2CXO J104824.9+135111,2934,YSO,0.2567614329519712,0.0113588983183635,0.19625244404657016,0.04879218246526668,0.48683504221782853
12983,2CXO J104825.8+123152,1587,YSO,0.22901500901484012,0.09392680606918066,0.1561897819297965,0.19881346440470377,0.32205493858147893
12984,2CXO J104825.8+123152,7073,AGN,0.3212764119878296,0.020803413050269694,0.14253141113365753,0.2968335384104848,0.21855522541775838
12985,2CXO J104826.0+123144,1587,YSO,0.22901500901484012,0.09392680606918066,0.1561897819297965,0.19881346440470377,0.32205493858147893
12986,2CXO J104826.0+123144,7073,AGN,0.3212764119878296,0.020803413050269694,0.14253141113365753,0.2968335384104848,0.21855522541775838
12987,2CXO J104827.0+123138,7073,YSO,0.12708375508351522,0.013342145123646655,0.2652407390502477,0.01832794222931047,0.57600541851328
12988,2CXO J104827.1+123842,7073,AGN,0.38394241907388105,0.014979105785586673,0.139338588276468,0.32551905650717405,0.13622083035689023
12989,2CXO J104827.1+123842,7076,AGN,0.3315533385533817,0.011262548620191134,0.15520464154973568,0.23716167541956126,0.26481779585713017
12994,2CXO J104831.2+135739,2934,AGN,0.4543298481292784,0.006712040829267955,0.061435711217216506,0.28400536987428926,0.19351702994994785
12995,2CXO J104831.5-251341,12290,AGN,0.30443391019807836,0.08085763991648318,0.1667175712075505,0.2426976427231712,0.2052932359547168
12997,2CXO J104834.4-252257,12290,AGN,0.48847965195459636,0.0008080809678892502,0.0612872358575479,0.29618651809364555,0.153238513126321
12999,2CXO J104837.1+124221,13829,AGN,0.5606314498232144,0.002614934293595054,0.05143226342807735,0.28195488698165644,0.10336646547345675
13002,2CXO J104842.6-252134,12290,QSO,0.3294851136405247,0.009076024253608594,0.11666534920245543,0.41067027675160744,0.13410323615180406
13005,2CXO J104904.4+510759,10534,QSO,0.24011110476802058,0.08278006706730849,0.16708086745329365,0.3067095041427439,0.20331845656863334
13009,2CXO J104911.0-531308,15705,AGN,0.39909722260108427,0.023089862911273826,0.17272577468294845,0.10961312832592612,0.2954740114787674
13012,2CXO J104915.4-042527,4210,YSO,0.22804844406675284,0.19691842434317927,0.11859380360139234,0.22374079714398035,0.23269853084469538
13015,2CXO J104920.6+510610,10534,QSO,0.3212216396611267,0.011394616511779474,0.18766503340658416,0.32794892816339405,0.15176978225711552
13019,2CXO J104946.7+505823,10534,AGN,0.35145008405537076,0.025440411802028703,0.14638462930049836,0.2616087118251461,0.2151161630169561
13021,2CXO J105008.7+510254,10534,AGN,0.33950498703020365,0.01722229014163661,0.19073438412137034,0.1427202375890886,0.30981810111770086
13022,2CXO J105012.0+510616,10534,AGN,0.3715391057904859,0.009649653980801726,0.12408610188891253,0.35681896678173064,0.13790617155806906
13023,2CXO J105013.8-041330,4210,AGN,0.29214654213692304,0.11164449102937495,0.2757134255332029,0.1657124982714736,0.1547830430290255
13030,2CXO J105127.0+155516,4642,AGN,0.29770592742793883,0.04783922460923051,0.21135589600762605,0.2689814003627414,0.17411755159246328
13031,2CXO J105127.2-531159,15705,AGN,0.3673175368315311,0.03076584542598261,0.14645168605293435,0.22795731350099213,0.2275076181885597
13037,2CXO J105204.6-402109,14900,AGN,0.4039172400231892,0.022274784472279405,0.147150023503858,0.31027441280174034,0.11638353919893303
13048,2CXO J105355.8-403020,14900,QSO,0.35951943767474503,0.0006507551733827227,0.0709112408465733,0.37891288910068655,0.19000567720461234
13049,2CXO J105356.2-055305,4211,AGN,0.26328086221091196,0.12748441620083148,0.130278379352148,0.25107734401229903,0.22787899822380972
13054,2CXO J105424.1-485053,9953,QSO,0.20350337412908545,0.18255003750713192,0.17515139695274706,0.28197100540628556,0.1568241860047502
13056,2CXO J105437.6-053632,4211,AGN,0.29521676043705025,0.05467750604229242,0.1776234799251035,0.28150895266987636,0.19097330092567752
13059,2CXO J105559.9-045236,4212,QSO,0.1858322927639198,0.026652202337976622,0.23852186247651835,0.33015088170013596,0.21884276072144918
13061,2CXO J105618.2-033519,512,AGN,0.30660398254731297,0.005332660691048711,0.1545307130129669,0.273981686580172,0.2595509571684994
13064,2CXO J105638.1-034148,512,AGN,0.3842472494259097,0.015534579479022852,0.09941718191416538,0.3208833577510756,0.17991763142982647
13077,2CXO J105806.3-523629,13789,AGN,0.5216075319589168,0.09677929020137965,0.09156945687101868,0.2223004304665388,0.067743290502146
13088,2CXO J105910.8-773733,6396,AGN,0.25706586927619607,0.18178641965144257,0.19017043504233536,0.17310866075229533,0.19786861527773056
13091,2CXO J110057.3-121335,7743,AGN,0.3602453942061995,0.03956567349166373,0.11442959349893961,0.2855388784019134,0.20022046040128386
13093,2CXO J110114.1-121025,7743,QSO,0.28976506891118997,0.10912637195101153,0.13268678074733864,0.335322833188653,0.1330989452018068
13098,2CXO J110250.9+180359,3149,YSO,0.2580647282920089,0.029932202264308903,0.2631233401003029,0.15223824682173942,0.2966414825216399
13099,2CXO J110254.6+105836,4417,QSO,0.26455994275360983,0.11568875763711772,0.16098966026409534,0.3085745095355889,0.15018712980958818
13103,2CXO J110319.3+765409,3986,QSO,0.21300320184606203,0.07012906848860032,0.19195275438755457,0.32645522115769166,0.19845975412009134
13106,2CXO J110334.4-585926,8941,YSO,0.015668343501544894,0.004281329678441344,0.2894898110288427,0.0011574296029140975,0.6894030861882569
13119,2CXO J110512.3+765009,3986,AGN,0.2801214154438704,0.11614134378903584,0.15940088010405243,0.2130862057131652,0.23125015494987608
13123,2CXO J110529.2-000635,9552,QSO,0.2803282223121256,0.0649623932056021,0.15165598521663476,0.3097621550392088,0.19329124422642874
13125,2CXO J110536.7-000050,9552,AGN,0.25456598125244867,0.13500141251380143,0.13209002520991242,0.2507106052013926,0.22763197582244482
13126,2CXO J110542.6-584540,8941,YSO,0.05232274908783528,0.00042737622386568677,0.3641816071826528,0.028219469500152607,0.5548487980054937
13127,2CXO J110543.3-585053,8941,YSO,0.00137498207016264,0.0008293231641045862,0.39933435494449676,0.00025651771409570547,0.5982048221071402
13131,2CXO J110557.4-000044,9552,QSO,0.20014563611157998,0.17112857749926663,0.20044414993486623,0.2997918001109961,0.12848983634329111
13133,2CXO J110629.4-182202,375,AGN,0.3230557240479477,0.06631735200185647,0.14237152932970407,0.2706325782271658,0.19762281639332582
13134,2CXO J110629.4-182202,14502,QSO,0.28874166708449517,0.026312400243853677,0.21497604470790999,0.35770038154934064,0.11226950641440053
13137,2CXO J110701.9-053221,5887,AGN,0.3532707110940082,0.0035504931948344975,0.13919930480293866,0.32431546759384267,0.17966402331437603
13139,2CXO J110710.4-052804,5887,AGN,0.27923498843094513,0.06750222416260124,0.18195123206286076,0.2331397528402567,0.2381718025033361
13141,2CXO J110726.3-053203,5825,QSO,0.2597327119179681,0.05731435634291406,0.11003111795999493,0.3955089789788521,0.17741283480027087
13142,2CXO J110726.3-053203,5887,AGN,0.3079536275467824,0.06106517068514717,0.12087560428947984,0.28046793306887374,0.22963766440971684
13146,2CXO J110813.2-052456,5825,Orion_V*,0.16470282074847736,0.03256126423402043,0.3542200057795167,0.28104374786804237,0.16747216136994317
13148,2CXO J110918.1-763029,1867,YSO,0.0967681332148729,0.09466737826510946,0.3098520202788842,0.024092985213168307,0.47461948302796514
13151,2CXO J110947.0-373709,3217,AGN,0.4114556571150596,0.03777563833674399,0.07745270025639332,0.2798996896274522,0.19341631466435094
