,name,obsid,main_type,AGN,HMXB,QSO,SNR,YSO
15498,2CXO J130003.9+275550,13996,QSO,0.28819313733582275,0.14721036700507295,0.3347940427368775,0.11422633484521945,0.11557611807700724
15527,2CXO J130216.8+365736,11568,QSO,0.2735343939535345,0.15440866569219572,0.38772259662803166,0.0786727460229419,0.10566159770329618
15555,2CXO J130522.8-492900,14412,AGN,0.2966249747362919,0.22481647868390298,0.19227262942776435,0.06384661207903503,0.2224393050730058
15559,2CXO J130525.4-492831,14985,YSO,0.1842858478777575,0.2413222974244747,0.10105362764181526,0.08518983251827071,0.38814839453768185
15581,2CXO J130540.7-492603,14984,YSO,0.25046242068779806,0.23198438495133478,0.06541705810495532,0.04709646741246098,0.4050396688434508
15582,2CXO J130540.7-492603,14985,AGN,0.3435902360619457,0.09882264172603354,0.20234844790068632,0.18595733017473806,0.16928134413659632
15610,2CXO J130653.7+035338,3966,AGN,0.4478256824431836,0.05017653379306204,0.2458753710499866,0.2142550886626081,0.04186732405115972
15612,2CXO J130703.4+364307,11572,AGN,0.3195697609617527,0.13945269754044873,0.30945626301463436,0.08507175354455566,0.1464495249386084
15669,2CXO J131221.9-623959,8922,AGN,0.30546583885776263,0.18020062866406336,0.12901962848655024,0.1318853043933629,0.25342859959826075
15672,2CXO J131226.8-624156,8922,YSO,0.19853727220250392,0.11765299244633712,0.11688514052319018,0.08486808991988219,0.4820565049080866
15676,2CXO J131229.6-623433,8922,AGN,0.3639760497044758,0.05512467124546452,0.10111580033555227,0.20906034898001744,0.2707231297344901
15677,2CXO J131231.9-624108,8922,AGN,0.34714576950954656,0.09386918363908252,0.10046669218013299,0.12658014378819293,0.33193821088304504
15713,2CXO J131651.5+291240,2228,AGN,0.44352775324542254,0.0602084992792768,0.27883366502695006,0.11763926090646117,0.09979082154188947
15726,2CXO J131859.2-210810,15385,QSO,0.3102859782732517,0.13387430509664783,0.36001904791139916,0.12435315517657747,0.07146751354212381
15762,2CXO J132444.3-425652,8490,AGN,0.4095209582330901,0.05732114917260583,0.29558108663709465,0.13338797476914394,0.10418883118806556
15786,2CXO J132500.6+301955,9836,YSO,0.21015950233556416,0.2506593526298251,0.16636847874254398,0.05755991267547103,0.3152527536165959
15787,2CXO J132500.6+301955,9404,YSO,0.15018346690657258,0.3098373913813345,0.1528204164892567,0.04502901715876141,0.3421297080640749
15833,2CXO J132509.6-391711,15203,AGN,0.389623706627305,0.18251549883746085,0.10050341240916197,0.11191119431499938,0.21544618781107266
15868,2CXO J132519.7-424922,7797,AGN,0.445338775293026,0.010236569614712749,0.32415590987840204,0.19609034731744043,0.02417839789641886
15883,2CXO J132522.8-430124,962,QSO,0.27226367331528273,0.07727067966993457,0.41333353894254954,0.12791743436998979,0.1092146737022433
15886,2CXO J132522.8-430124,10722,QSO,0.23698655795803478,0.2813426802883113,0.3164432051195638,0.10784182882945594,0.05738572780463419
