,ra,dec,obsid,name,cluster,silhouette_prob,silhouette
29,0.5403900452759558,23.384524510935595,14898,2CXO J000209.6+232304,4,0.5362258813325279,0.07245176266505582
31,0.6869340038903147,-35.88375143497054,6974,2CXO J000244.8-355301,4,0.7623193682094491,0.5246387364188984
32,0.6957379412567661,-35.76767700977836,6973,2CXO J000246.9-354603,0,0.48373438028603905,-0.03253123942792187
34,0.7322513768582439,-35.619673058875804,6973,2CXO J000255.7-353710,5,0.6315488696776452,0.26309773935529035
37,0.8066712598869685,16.332287925765858,11309,2CXO J000313.6+161956,5,0.6069980890145562,0.21399617802911233
38,0.8179697642329984,16.287439806557025,11309,2CXO J000316.3+161714,0,0.506181091649105,0.012362183298209935
40,0.8714713539109766,-35.74635325743513,6973,2CXO J000329.1-354446,5,0.6239029598888751,0.24780591977775032
43,1.178212619868475,72.97214354820463,3835,2CXO J000442.7+725819,0,0.4960833240344997,-0.007833351931000645
46,1.5313239672192935,11.029119305344075,12251,2CXO J000607.5+110144,5,0.5844136845523071,0.16882736910461432
47,1.594324511113598,-0.07357303251626,4096,2CXO J000622.6-000424,3,0.6053630881277257,0.21072617625545131
48,1.594324511113598,-0.07357303251626,5617,2CXO J000622.6-000424,5,0.6326729422687452,0.26534588453749025
49,1.6227328496942732,72.98556265956351,3835,2CXO J000629.4+725908,0,0.5331291005099446,0.06625820101988905
50,1.641356432621535,10.822786853712723,12251,2CXO J000633.9+104922,2,0.5690606875366094,0.13812137507321895
51,1.7565551599167293,73.0522590794561,3835,2CXO J000701.5+730308,2,0.5067477119818368,0.0134954239636736
53,1.9182412225255234,73.11362672119465,3835,2CXO J000740.3+730649,5,0.5384440466580946,0.0768880933161893
56,2.0477120447869197,51.25985940097911,8942,2CXO J000811.4+511535,2,0.574996796638173,0.14999359327634598
58,2.206435358987335,51.42073086547305,8942,2CXO J000849.5+512514,5,0.5424096555431244,0.08481931108624864
62,2.3982289670654495,-32.27692614775548,5783,2CXO J000935.5-321636,3,0.5663700025834603,0.13274000516692055
63,2.472536606305937,25.923870408962713,10401,2CXO J000953.4+255525,2,0.5769435345106504,0.15388706902130073
64,2.4905484342464206,25.896471101509256,10401,2CXO J000957.7+255347,2,0.6060587724537227,0.2121175449074456
65,2.519109500315551,-25.156738563090425,9547,2CXO J001004.5-250924,0,0.5505400721975819,0.1010801443951638
66,2.5623428358006777,52.68215322885298,15318,2CXO J001014.9+524055,5,0.6097882373080684,0.21957647461613677
67,2.6245773979226215,-25.035716969332956,9547,2CXO J001029.8-250208,3,0.5580414572385695,0.11608291447713882
68,2.6416757183286563,-25.080428587109985,9547,2CXO J001034.0-250449,5,0.6270116378453521,0.25402327569070426
69,2.777335117402572,-12.107624782367505,15061,2CXO J001106.5-120627,2,0.5851953030502014,0.1703906061004028
71,2.8567107029475665,-15.388857335220779,3261,2CXO J001125.6-152319,5,0.654195184774556,0.30839036954911203
72,2.872352556536896,-15.307830180925391,6105,2CXO J001129.3-151828,2,0.4910754059747327,-0.01784918805053456
73,2.8819805397951654,-15.389029993963689,6105,2CXO J001131.6-152320,0,0.4764286298038102,-0.04714274039237963
74,2.8819805397951654,-15.389029993963689,3261,2CXO J001131.6-152320,5,0.5840924926862993,0.16818498537259846
75,2.916332188151898,-15.394670810361593,6105,2CXO J001139.9-152340,3,0.5843834576152356,0.16876691523047124
77,2.9356137831025535,-15.264988812711838,6105,2CXO J001144.5-151553,3,0.5065382174591275,0.013076434918254973
78,2.936507995571219,-15.540252711391474,3261,2CXO J001144.7-153224,2,0.5161456628602958,0.03229132572059161
79,3.044699223096643,-27.202301465209114,5038,2CXO J001210.7-271208,5,0.5437544371748997,0.08750887434979944
80,3.048233545220967,52.53218461080334,15318,2CXO J001211.5+523155,4,0.7540272071918097,0.5080544143836193
81,3.0505249466538658,-27.169771729852734,5038,2CXO J001212.1-271011,2,0.5617127662561148,0.12342553251222944
82,3.064905906556703,72.53605588783509,4481,2CXO J001215.5+723209,5,0.5760613805168531,0.1521227610337062
83,3.1028630176922434,-27.335588210789805,5038,2CXO J001224.6-272008,2,0.5349130896001254,0.06982617920025072
84,3.1676722859841675,-30.373963338812285,8557,2CXO J001240.2-302226,2,0.5902462172417364,0.1804924344834728
85,3.1676722859841675,-30.373963338812285,8477,2CXO J001240.2-302226,5,0.6416859762745226,0.2833719525490453
87,3.2001649720417618,-30.538588228659755,8477,2CXO J001248.0-303218,2,0.5435063743713076,0.08701274874261504
89,3.252157416976729,-27.130987425616844,5038,2CXO J001300.5-270751,2,0.5671152751994233,0.13423055039884668
92,3.2855818877015395,-19.62657730056812,4945,2CXO J001308.5-193735,3,0.5425191703691814,0.08503834073836276
93,3.288468451917254,-27.443258236847168,5038,2CXO J001309.2-272635,5,0.5433591163800852,0.08671823276017035
95,3.319410821347617,-19.533805445374586,4945,2CXO J001316.6-193201,5,0.5185358167957557,0.03707163359151131
96,3.327427764324568,-27.25419271761785,5038,2CXO J001318.5-271515,2,0.5394666819915886,0.07893336398317732
99,3.3660501059202943,-27.378555626981512,5038,2CXO J001327.8-272242,3,0.5463670892177485,0.09273417843549686
100,3.379310833289196,-19.625489558637454,4945,2CXO J001331.0-193731,2,0.5242042816884607,0.048408563376921426
101,3.3796900808187047,40.86036510136215,5669,2CXO J001331.1+405137,2,0.5292083289194827,0.05841665783896524
102,3.3810012184951574,-27.128592814972382,5038,2CXO J001331.4-270742,5,0.577422378058962,0.15484475611792406
103,3.382647473717327,-27.368487495449628,5038,2CXO J001331.8-272206,0,0.5960167163585905,0.19203343271718118
104,3.384963829145306,-27.43636795893479,5038,2CXO J001332.3-272610,0,0.5117163089282133,0.02343261785642667
107,3.4285597191154125,-19.36559101842652,4945,2CXO J001342.8-192156,2,0.5411392836514308,0.08227856730286166
110,3.441435674139882,-19.35312062085979,4945,2CXO J001345.9-192111,3,0.5508862666593691,0.1017725333187382
112,3.4590370245933855,79.44756493987873,3009,2CXO J001350.1+792651,5,0.5454111998274876,0.09082239965497535
115,3.4646336447297017,-30.416750555983516,7915,2CXO J001351.5-302500,5,0.6706824890511294,0.3413649781022587
116,3.465956437036027,-30.49862219020347,8477,2CXO J001351.8-302955,5,0.5522534587613485,0.10450691752269686
117,3.4663564640200093,-49.66575654728936,13471,2CXO J001351.9-493956,2,0.5633461537789197,0.12669230755783956
119,3.4998217583217297,-39.05100374550116,2255,2CXO J001359.9-390303,2,0.5495178458829597,0.09903569176591946
120,3.5037146595781223,-49.609167173912006,13471,2CXO J001400.8-493633,5,0.5976792184321302,0.19535843686426052
121,3.5106239215674577,-49.654893499942304,13471,2CXO J001402.5-493917,5,0.529679045511245,0.0593580910224899
126,3.5338662791280058,-49.63234569634978,13471,2CXO J001408.1-493756,0,0.5082380743674457,0.01647614873489155
127,3.576228001651657,-49.8477361459475,13471,2CXO J001418.2-495051,2,0.584158420647675,0.16831684129534988
128,3.5803507564318693,-39.18728928547318,4744,2CXO J001419.2-391114,5,0.5804847456408225,0.160969491281645
129,3.5894971303449097,-49.688132683067835,13471,2CXO J001421.4-494117,3,0.5348854916506739,0.0697709833013477
130,3.6011569228702456,-30.251396759954567,2212,2CXO J001424.2-301505,2,0.513637843302172,0.027275686604344006
132,3.610668688068472,-30.395607684166283,8557,2CXO J001426.5-302344,3,0.5278707227482933,0.05574144549658662
133,3.610668688068472,-30.395607684166283,8477,2CXO J001426.5-302344,3,0.6005877631912113,0.20117552638242253
135,3.623016126487755,-49.629573164500464,13471,2CXO J001429.5-493746,5,0.5919114706132153,0.1838229412264305
136,3.6301757764765625,-30.377540846267816,2212,2CXO J001431.2-302239,5,0.6583154396980893,0.31663087939617846
141,3.6858434961676494,-39.1933316034426,2255,2CXO J001444.6-391135,0,0.5177283671764662,0.035456734352932305
144,3.7041166944595147,-39.3751906142036,2255,2CXO J001448.9-392230,0,0.5048163834151923,0.00963276683038461
146,3.7165809225895146,-39.17922324075287,4744,2CXO J001451.9-391045,5,0.5673894275951092,0.13477885519021854
147,3.7295051149075675,-49.82975014644067,13471,2CXO J001455.0-494947,1,0.5412593655439372,0.08251873108787428
148,3.737501580098126,-39.194222948152266,2255,2CXO J001457.0-391139,0,0.49949652294844216,-0.0010069541031156532
149,3.745814192025705,-27.664121466043074,5039,2CXO J001458.9-273950,3,0.5603966702240166,0.12079334044803314
150,3.768150804579591,-0.9110713996620939,16228,2CXO J001504.3-005439,3,0.5247569324442276,0.04951386488845512
151,3.784178336703121,-30.252089295417868,2212,2CXO J001508.2-301507,3,0.5255573935868704,0.051114787173740635
152,3.7995289336166707,-49.774330768997785,13471,2CXO J001511.8-494627,5,0.5586688394392901,0.11733767887858032
153,3.802535232391733,-49.978520930481025,13471,2CXO J001512.6-495842,5,0.5256919645401394,0.051383929080278876
155,3.841155061979464,-49.797765786564135,13471,2CXO J001521.8-494751,2,0.5466065861513872,0.09321317230277454
156,3.850326405762928,17.233667920331808,10547,2CXO J001524.0+171401,0,0.6010986727583963,0.20219734551679266
158,3.870421038101142,-39.22182252531879,2255,2CXO J001528.9-391318,2,0.5180192386167927,0.036038477233585296
159,3.8763234180600534,-39.120880646842124,2255,2CXO J001530.3-390715,0,0.624139142851091,0.24827828570218188
160,3.8929314259397074,-39.24025882992115,2255,2CXO J001534.3-391424,2,0.5304822975383258,0.060964595076651626
161,3.9347596435518994,-39.20248381996737,2255,2CXO J001544.3-391208,5,0.57884729170972,0.15769458341944004
162,3.951250718731501,-39.310972781804594,2255,2CXO J001548.3-391839,5,0.6029477824005098,0.2058955648010196
163,3.9713369614663065,-0.9532674794749325,16228,2CXO J001553.1-005711,5,0.531615660508895,0.06323132101778986
164,3.977730649821126,-27.378883146824634,5039,2CXO J001554.6-272243,2,0.5455976269384526,0.0911952538769053
165,4.001066144430297,-27.54665063763628,5039,2CXO J001600.2-273247,1,0.4905258529533025,-0.018948294093395077
167,4.018267784800287,-27.12527992745987,7906,2CXO J001604.3-270731,3,0.5523953515554593,0.10479070311091855
168,4.1294467513283735,79.28055258425788,4363,2CXO J001631.0+791649,5,0.5743841682937179,0.1487683365874358
169,4.1294467513283735,79.28055258425788,3009,2CXO J001631.0+791649,5,0.5586927100344898,0.11738542006897967
172,4.258715028061658,32.15586512014069,2987,2CXO J001702.0+320921,3,0.5537229119456308,0.10744582389126163
173,4.416053002787237,16.391299717203385,520,2CXO J001739.8+162328,5,0.6203726693511297,0.2407453387022593
174,4.491902706230462,-10.482809613400692,13823,2CXO J001758.0-102858,5,0.5230671454296275,0.04613429085925506
175,4.5426525102209325,16.53983904897961,520,2CXO J001810.2+163223,3,0.5893644264184857,0.17872885283697154
176,4.548993551218189,-10.246465346905536,13823,2CXO J001811.7-101447,2,0.5202318110554193,0.04046362211083864
177,4.554372262273262,30.065176074223174,10231,2CXO J001813.0+300354,5,0.5433240635927827,0.0866481271855654
178,4.560430840070694,-10.41089297222267,13823,2CXO J001814.5-102439,5,0.5119900650609926,0.023980130121985275
179,4.57452340249182,30.225649184582643,10231,2CXO J001817.8+301332,0,0.6290766927037253,0.25815338540745075
182,4.630590872356322,16.345084264772492,520,2CXO J001831.3+162042,3,0.5123963044097832,0.024792608819566405
183,4.633406568946555,16.490426566789854,520,2CXO J001832.0+162925,2,0.5799529773242174,0.15990595464843474
184,4.63933293214717,16.531578510154407,520,2CXO J001833.4+163153,3,0.47990522297058685,-0.040189554058826286
185,4.657931964878742,16.652525645718107,520,2CXO J001837.9+163909,2,0.528128082487587,0.05625616497517408
186,4.690426378666189,16.56276776132533,520,2CXO J001845.7+163345,5,0.5193064776562092,0.03861295531241828
187,4.71194402747426,-10.37676680848996,13823,2CXO J001850.8-102236,2,0.5526131713591204,0.10522634271824081
188,4.717749191942801,-10.431929636190711,13823,2CXO J001852.2-102554,0,0.49433186120183625,-0.011336277596327524
189,4.723170431399524,16.464158059628588,520,2CXO J001853.5+162750,0,0.5046251869324998,0.009250373864999547
190,4.749188501429217,16.44689881814072,520,2CXO J001859.8+162648,2,0.47968693931588813,-0.04062612136822377
194,4.828250376335177,59.13892124560537,11084,2CXO J001918.7+590820,3,0.5319964580307752,0.06399291606155051
195,4.828250376335177,59.13892124560537,11080,2CXO J001918.7+590820,4,0.7029254881092264,0.4058509762184527
196,4.828250376335177,59.13892124560537,11081,2CXO J001918.7+590820,4,0.7318266748968402,0.4636533497936804
197,4.966153364038519,-70.950336684881,13919,2CXO J001951.8-705701,2,0.5534710728885979,0.10694214577719585
198,4.976495803455521,15.961544994199,1595,2CXO J001954.3+155741,4,0.6969864660220095,0.39397293204401895
200,5.052812236061584,59.25037701500526,7082,2CXO J002012.6+591501,0,0.5057424257377326,0.011484851475465222
201,5.052812236061584,59.25037701500526,8458,2CXO J002012.6+591501,0,0.5882158953909888,0.17643179078197763
203,5.087235066619144,59.2997766792234,3953,2CXO J002020.9+591759,0,0.5184148504323269,0.03682970086465392
205,5.102007268172883,59.2570624302704,7082,2CXO J002024.4+591525,0,0.47699806312234555,-0.046003873755308934
206,5.102007268172883,59.2570624302704,8458,2CXO J002024.4+591525,0,0.49115115514817503,-0.01769768970364988
214,5.121267209387213,59.281071023154105,7082,2CXO J002029.1+591651,1,0.5166147202994288,0.033229440598857574
215,5.121267209387213,59.281071023154105,8458,2CXO J002029.1+591651,1,0.5403771738955728,0.08075434779114557
216,5.121267209387213,59.281071023154105,11082,2CXO J002029.1+591651,1,0.5780991704442306,0.1561983408884614
217,5.1261613315408,79.31367932217763,3009,2CXO J002030.2+791849,0,0.5461522026663903,0.0923044053327806
219,5.2783704866853896,0.9454791756845357,13014,2CXO J002106.8+005643,5,0.6350738864155328,0.2701477728310654
220,5.297105129269369,-8.69458448608551,4102,2CXO J002111.3-084140,2,0.5368891259300986,0.07377825186019721
221,5.299047156787992,-8.737403911332647,4102,2CXO J002111.7-084414,5,0.6231424929200997,0.24628498584019942
222,5.3054123150529335,-2.021014236464896,3017,2CXO J002113.2-020115,3,0.5637475838067745,0.12749516761354887
224,5.358290911081667,0.752874147674479,13014,2CXO J002125.9+004510,2,0.5029310810730184,0.0058621621460367675
225,5.38660056838205,59.24392109264,3953,2CXO J002132.7+591438,2,0.5338343634433371,0.06766872688667419
226,5.420824365998669,0.6448880758490273,5649,2CXO J002140.9+003841,5,0.6102125095095366,0.2204250190190733
227,5.420824365998669,0.6448880758490273,13014,2CXO J002140.9+003841,3,0.5706547352457932,0.14130947049158643
228,5.541512595281802,0.2747925844235087,2252,2CXO J002209.9+001629,4,0.6320828834848147,0.26416576696962923
229,5.595313808571916,0.1807672321410958,2252,2CXO J002222.8+001050,3,0.5829482443628902,0.16589648872578033
230,5.632224616764404,0.4274785061329093,2252,2CXO J002231.7+002538,5,0.626530505805454,0.2530610116109079
231,5.649851025917371,0.31395958918374406,2252,2CXO J002235.9+001850,3,0.556781203853539,0.11356240770707807
233,5.688722048516979,-71.98585144142227,955,2CXO J002245.2-715909,5,0.5427501389987188,0.08550027799743766
234,5.688722048516979,-71.98585144142227,953,2CXO J002245.2-715909,2,0.5537803340589478,0.10756066811789547
235,5.688832604518211,0.4895249425053263,2252,2CXO J002245.3+002922,2,0.5445355324525741,0.08907106490514817
236,5.703175347427191,0.25518957062460357,2252,2CXO J002248.7+001518,5,0.6039816316142677,0.20796326322853523
238,5.755438222999999,4.389090685616817,7914,2CXO J002301.3+042320,5,0.5567393254837905,0.11347865096758102
239,5.774619479122634,-72.113609601914,2737,2CXO J002305.9-720648,2,0.6211154430607875,0.24223088612157487
240,5.774619479122634,-72.113609601914,2738,2CXO J002305.9-720648,5,0.5420030648334067,0.08400612966681342
241,5.774619479122634,-72.113609601914,2735,2CXO J002305.9-720648,5,0.6692001561929245,0.33840031238584906
242,5.774619479122634,-72.113609601914,2736,2CXO J002305.9-720648,5,0.5253914336883092,0.05078286737661837
243,5.782713445579816,-72.22091043512968,2738,2CXO J002307.8-721315,5,0.6339685365990945,0.2679370731981889
244,5.798242971482864,0.4467525153285386,2252,2CXO J002311.5+002648,0,0.5508444124973463,0.10168882499469259
245,5.804976987876671,-72.02540666819745,2736,2CXO J002313.1-720131,5,0.5638120923594055,0.12762418471881115
246,5.804976987876671,-72.02540666819745,2738,2CXO J002313.1-720131,5,0.5459041374892062,0.09180827497841243
247,5.804976987876671,-72.02540666819745,2737,2CXO J002313.1-720131,5,0.6588937365997406,0.3177874731994812
248,5.81729190193613,-72.12594059754775,2738,2CXO J002316.1-720733,5,0.5526360334300471,0.10527206686009426
249,5.81729190193613,-72.12594059754775,2735,2CXO J002316.1-720733,5,0.6094796031181979,0.21895920623639575
250,5.81729190193613,-72.12594059754775,2737,2CXO J002316.1-720733,5,0.604278111394373,0.208556222788746
251,5.81729190193613,-72.12594059754775,2736,2CXO J002316.1-720733,2,0.48084452106497855,-0.03831095787004295
252,5.832284730478534,9.348721402963431,14363,2CXO J002319.7+092055,2,0.551950493342759,0.10390098668551802
253,5.8753423336292485,0.3936331963696969,2252,2CXO J002330.0+002337,2,0.5164491763595715,0.03289835271914317
254,5.877945588911416,0.2662758268711083,2252,2CXO J002330.7+001558,5,0.6074891886881328,0.21497837737626568
255,5.878169734633218,-72.34542654362319,955,2CXO J002330.7-722043,3,0.5199845620892831,0.039969124178566136
256,5.878169734633218,-72.34542654362319,953,2CXO J002330.7-722043,4,0.6708330070056095,0.3416660140112191
259,5.904608824313698,-72.3073935259748,2738,2CXO J002337.1-721826,2,0.5156283451571358,0.0312566903142717
260,5.904608824313698,-72.3073935259748,2737,2CXO J002337.1-721826,2,0.5099744783287751,0.019948956657550063
261,5.904608824313698,-72.3073935259748,2736,2CXO J002337.1-721826,2,0.524775800125934,0.0495516002518682
262,5.9064812794403,4.2833957036763834,7914,2CXO J002337.5+041700,3,0.6359674380146226,0.27193487602924526
264,5.9064365842768325,-72.39110591840287,953,2CXO J002337.5-722327,3,0.6127192522957738,0.22543850459154768
265,5.908970291315882,4.283417315405741,7914,2CXO J002338.1+041700,5,0.5894671100681773,0.17893422013635454
266,5.926641821018279,0.3449695503456806,2252,2CXO J002342.3+002041,0,0.5571200056562853,0.1142400113125706
267,5.938369388214653,-1.9198381090702064,8918,2CXO J002345.2-015511,3,0.5240865884735068,0.04817317694701345
276,6.004075250301412,-72.08147449184482,956,2CXO J002400.9-720453,2,0.5125003846550557,0.025000769310111286
277,6.004075250301412,-72.08147449184482,955,2CXO J002400.9-720453,4,0.7339449728662446,0.4678899457324891
278,6.004075250301412,-72.08147449184482,953,2CXO J002400.9-720453,4,0.738519460224041,0.47703892044808194
279,6.004075250301412,-72.08147449184482,2736,2CXO J002400.9-720453,4,0.7266958215714322,0.45339164314286434
280,6.004075250301412,-72.08147449184482,2738,2CXO J002400.9-720453,4,0.7485798939183622,0.49715978783672443
281,6.004075250301412,-72.08147449184482,3386,2CXO J002400.9-720453,4,0.7557108497503839,0.5114216995007679
282,6.004075250301412,-72.08147449184482,2735,2CXO J002400.9-720453,4,0.7446173131441989,0.48923462628839764
283,6.004075250301412,-72.08147449184482,3385,2CXO J002400.9-720453,2,0.5712790806780315,0.1425581613560628
284,6.004075250301412,-72.08147449184482,2737,2CXO J002400.9-720453,4,0.7467839153291577,0.4935678306583154
289,6.008392890514472,4.5241264857128005,7914,2CXO J002402.0+043126,0,0.5602692956539301,0.12053859130786033
293,6.008950570811123,-72.09502697522095,955,2CXO J002402.1-720542,2,0.5195092799735718,0.039018559947143434
294,6.008950570811123,-72.09502697522095,953,2CXO J002402.1-720542,2,0.533584534436724,0.06716906887344819
295,6.008950570811123,-72.09502697522095,2738,2CXO J002402.1-720542,3,0.49759550593345203,-0.004808988133095924
301,6.011798331598811,-72.08033221072942,2737,2CXO J002402.8-720449,4,0.65942053039851,0.31884106079702
304,6.014514211500057,-72.08481583638246,2737,2CXO J002403.4-720505,4,0.5429582605278256,0.08591652105565119
305,6.014514211500057,-72.08481583638246,2738,2CXO J002403.4-720505,4,0.6884019860361349,0.37680397207226984
306,6.014684436261632,-72.08111634911197,956,2CXO J002403.5-720452,5,0.5705738076390503,0.14114761527810063
307,6.014684436261632,-72.08111634911197,78,2CXO J002403.5-720452,5,0.522302129602569,0.04460425920513805
308,6.014684436261632,-72.08111634911197,953,2CXO J002403.5-720452,3,0.5962056689467811,0.19241133789356205
309,6.014684436261632,-72.08111634911197,955,2CXO J002403.5-720452,3,0.49956260189176055,-0.0008747962164788681
310,6.014684436261632,-72.08111634911197,3384,2CXO J002403.5-720452,2,0.5418930306197186,0.08378606123943716
311,6.014684436261632,-72.08111634911197,2736,2CXO J002403.5-720452,2,0.5248512320805094,0.04970246416101895
312,6.014684436261632,-72.08111634911197,2737,2CXO J002403.5-720452,3,0.5260558814887134,0.05211176297742683
313,6.014684436261632,-72.08111634911197,2735,2CXO J002403.5-720452,5,0.6115358568290953,0.22307171365819053
314,6.014684436261632,-72.08111634911197,3385,2CXO J002403.5-720452,3,0.49376146374832486,-0.012477072503350313
315,6.014684436261632,-72.08111634911197,2738,2CXO J002403.5-720452,5,0.5705900555570322,0.14118011111406442
316,6.014684436261632,-72.08111634911197,3387,2CXO J002403.5-720452,2,0.5087138858024224,0.017427771604844766
317,6.014684436261632,-72.08111634911197,3386,2CXO J002403.5-720452,3,0.5094216582884343,0.018843316576868593
321,6.015749645639801,-72.07306388364992,2737,2CXO J002403.7-720423,2,0.5326310364481203,0.0652620728962406
328,6.01784253506969,-72.08276437373436,955,2CXO J002404.2-720457,2,0.4915180792206873,-0.016963841558625438
329,6.01784253506969,-72.08276437373436,953,2CXO J002404.2-720457,3,0.5334522395684974,0.06690447913699485
330,6.01784253506969,-72.08276437373436,78,2CXO J002404.2-720457,4,0.6186630757818903,0.2373261515637805
331,6.01784253506969,-72.08276437373436,2737,2CXO J002404.2-720457,4,0.6882418300714324,0.37648366014286466
332,6.01784253506969,-72.08276437373436,2735,2CXO J002404.2-720457,4,0.587940948132446,0.17588189626489195
333,6.01784253506969,-72.08276437373436,3387,2CXO J002404.2-720457,2,0.5587653783659112,0.1175307567318225
335,6.020770554251953,-72.08095301892519,2737,2CXO J002404.9-720451,4,0.7216196150396977,0.4432392300793955
336,6.02058911963303,-72.08210333312535,2736,2CXO J002404.9-720455,1,0.5974299705569597,0.1948599411139193
337,6.02058911963303,-72.08210333312535,2738,2CXO J002404.9-720455,0,0.5529011850968378,0.10580237019367558
338,6.02058911963303,-72.08210333312535,2735,2CXO J002404.9-720455,0,0.5353755120074474,0.0707510240148947
339,6.02058911963303,-72.08210333312535,2737,2CXO J002404.9-720455,1,0.5996464930643063,0.19929298612861263
342,6.025116791691119,-72.08228266126895,2738,2CXO J002406.0-720456,5,0.558397632630566,0.1167952652611319
343,6.025116791691119,-72.08228266126895,2737,2CXO J002406.0-720456,5,0.5832793175603327,0.16655863512066535
346,6.026675631401758,-72.07863355014038,955,2CXO J002406.4-720443,4,0.7543729043676108,0.5087458087352217
347,6.026675631401758,-72.07863355014038,953,2CXO J002406.4-720443,4,0.7370895388445746,0.47417907768914913
348,6.026675631401758,-72.07863355014038,2737,2CXO J002406.4-720443,4,0.7276883939890355,0.4553767879780709
349,6.026675631401758,-72.07863355014038,2738,2CXO J002406.4-720443,4,0.7382312497074861,0.47646249941497226
351,6.029836561438685,-72.09607497435768,2737,2CXO J002407.1-720545,3,0.5788624159225373,0.15772483184507446
352,6.029836561438685,-72.09607497435768,2735,2CXO J002407.1-720545,5,0.5645342689486499,0.12906853789729975
356,6.0326124010993,-72.07823242533864,2738,2CXO J002407.8-720441,4,0.6690145014754244,0.33802900295084876
357,6.0326124010993,-72.07823242533864,2736,2CXO J002407.8-720441,4,0.5529015814397666,0.10580316287953327
358,6.034720257866809,-72.07541651218435,2735,2CXO J002408.3-720431,4,0.6346852352736231,0.26937047054724617
359,6.034720257866809,-72.07541651218435,2738,2CXO J002408.3-720431,4,0.5655391497733695,0.131078299546739
360,6.034720257866809,-72.07541651218435,2737,2CXO J002408.3-720431,4,0.5429303051501131,0.08586061030022608
361,6.044884553019074,-72.07382630961833,2738,2CXO J002410.7-720425,1,0.5113541091341565,0.02270821826831286
362,6.044884553019074,-72.07382630961833,2735,2CXO J002410.7-720425,1,0.5324258702044711,0.06485174040894204
364,6.066288008464426,-72.07679239689979,2737,2CXO J002415.9-720436,4,0.5342302018373829,0.06846040367476586
365,6.066288008464426,-72.07679239689979,2736,2CXO J002415.9-720436,4,0.5708208717892699,0.14164174357853984
366,6.066288008464426,-72.07679239689979,2735,2CXO J002415.9-720436,4,0.5401973049905535,0.08039460998110708
367,6.066288008464426,-72.07679239689979,2738,2CXO J002415.9-720436,4,0.6120081638653633,0.22401632773072655
368,6.070791153353753,-72.07423437130886,2736,2CXO J002416.9-720427,5,0.5654250609229432,0.13085012184588646
369,6.070791153353753,-72.07423437130886,2738,2CXO J002416.9-720427,3,0.5278885567136361,0.05577711342727224
370,6.070791153353753,-72.07423437130886,2735,2CXO J002416.9-720427,2,0.5603308208699436,0.12066164173988714
371,6.070791153353753,-72.07423437130886,2737,2CXO J002416.9-720427,2,0.6136786046642746,0.22735720932854925
375,6.170834647542506,64.34247937245604,115,2CXO J002441.0+642032,1,0.4816725286489119,-0.036654942702176126
378,6.180632504829475,-72.30708451321401,2738,2CXO J002443.3-721825,5,0.6089068365985735,0.21781367319714706
