,angDist,main_type,col1,ra.1,dec.1,obsid,name,cluster,silhouette_prob,silhouette
40649,0.034844,PartofG,24791,201.36504956982608,-43.0191130680878,8489,2CXO J132527.6-430108,0,0.6318210442906859,0.2636420885813717
40652,0.034844,PartofG,24792,201.36504956982608,-43.0191130680878,7799,2CXO J132527.6-430108,0,0.5904637301151919,0.1809274602303837
40655,0.034844,PartofG,24793,201.36504956982608,-43.0191130680878,7798,2CXO J132527.6-430108,0,0.5930213401198079,0.1860426802396158
40658,0.034844,PartofG,24794,201.36504956982608,-43.0191130680878,11846,2CXO J132527.6-430108,0,0.6203458478424262,0.2406916956848523
40661,0.034844,PartofG,24795,201.36504956982608,-43.0191130680878,962,2CXO J132527.6-430108,0,0.6199677679554318,0.2399355359108636
40664,0.034844,PartofG,24796,201.36504956982608,-43.0191130680878,3965,2CXO J132527.6-430108,0,0.607234753127905,0.21446950625581
40667,0.034844,PartofG,24797,201.36504956982608,-43.0191130680878,15295,2CXO J132527.6-430108,0,0.6330485175952132,0.2660970351904264
40670,0.034844,PartofG,24798,201.36504956982608,-43.0191130680878,2978,2CXO J132527.6-430108,0,0.6144151686988817,0.2288303373977634
40673,0.034844,PartofG,24799,201.36504956982608,-43.0191130680878,10722,2CXO J132527.6-430108,0,0.5607811816690265,0.1215623633380529
40676,1.36749,X,24801,201.36665990919096,-43.01832511016515,7798,2CXO J132527.9-430105,0,0.612853036942478,0.2257060738849558
40677,1.36749,X,24802,201.36665990919096,-43.01832511016515,7799,2CXO J132527.9-430105,0,0.6069105639371445,0.213821127874289
40678,1.36749,X,24803,201.36665990919096,-43.01832511016515,7800,2CXO J132527.9-430105,3,0.5371010413255932,0.0742020826511864
40679,1.36749,X,24804,201.36665990919096,-43.01832511016515,8490,2CXO J132527.9-430105,0,0.6194938642618446,0.2389877285236892
40680,0.458855,X,24817,201.3675513034561,-43.04813897013189,8489,2CXO J132528.2-430253,5,0.610391844670673,0.2207836893413459
40682,0.458855,X,24818,201.3675513034561,-43.04813897013189,7797,2CXO J132528.2-430253,2,0.5990459856365169,0.1980919712730336
40684,0.458855,X,24819,201.3675513034561,-43.04813897013189,8490,2CXO J132528.2-430253,5,0.5889718863659237,0.1779437727318472
40686,0.311408,X,24820,201.3680770774239,-43.01751007052957,7798,2CXO J132528.3-430103,0,0.612853036942478,0.2257060738849558
40687,0.311408,X,24821,201.3680770774239,-43.01751007052957,7799,2CXO J132528.3-430103,0,0.6069105639371445,0.213821127874289
40688,0.311408,X,24822,201.3680770774239,-43.01751007052957,7800,2CXO J132528.3-430103,3,0.5371010413255932,0.0742020826511864
40689,0.254969,X,24823,201.3684950944405,-43.05422375083372,7800,2CXO J132528.4-430315,0,0.5226699351053897,0.0453398702107793
40690,0.254969,X,24824,201.3684950944405,-43.05422375083372,7798,2CXO J132528.4-430315,0,0.5448628445187015,0.0897256890374029
40691,0.254969,X,24825,201.3684950944405,-43.05422375083372,7799,2CXO J132528.4-430315,0,0.5599323021178968,0.1198646042357935
40692,0.254969,X,24826,201.3684950944405,-43.05422375083372,7797,2CXO J132528.4-430315,0,0.5258577267727926,0.0517154535455851
40693,0.887963,X,24828,201.36904198160727,-43.016655036874326,2978,2CXO J132528.5-430059,3,0.5133345243277097,0.0266690486554192
40695,0.887963,X,24829,201.36904198160727,-43.016655036874326,10722,2CXO J132528.5-430059,0,0.4782760623905374,-0.0434478752189251
40697,0.887963,X,24830,201.36904198160727,-43.016655036874326,8490,2CXO J132528.5-430059,3,0.4980909104668848,-0.0038181790662302
40699,0.887963,X,24831,201.36904198160727,-43.016655036874326,8489,2CXO J132528.5-430059,5,0.5768514914731477,0.1537029829462954
40701,0.887963,X,24832,201.36904198160727,-43.016655036874326,7798,2CXO J132528.5-430059,0,0.5283240693244226,0.0566481386488451
40703,0.887963,X,24833,201.36904198160727,-43.016655036874326,7799,2CXO J132528.5-430059,2,0.5095072941069344,0.0190145882138688
40705,0.887963,X,24834,201.36904198160727,-43.016655036874326,7797,2CXO J132528.5-430059,0,0.4667496437017986,-0.0665007125964026
40707,0.448673,X,24835,201.36958277142844,-43.01672317881246,7800,2CXO J132528.6-430100,5,0.5865375178857232,0.1730750357714463
40709,0.448673,X,24836,201.36958277142844,-43.01672317881246,3965,2CXO J132528.6-430100,3,0.5302723544959771,0.0605447089919541
40711,0.448673,X,24837,201.36958277142844,-43.01672317881246,10722,2CXO J132528.6-430100,0,0.5426030105754229,0.0852060211508459
40713,0.448673,X,24838,201.36958277142844,-43.01672317881246,2978,2CXO J132528.6-430100,0,0.5252459667284041,0.050491933456808
40715,0.448673,X,24839,201.36958277142844,-43.01672317881246,962,2CXO J132528.6-430100,5,0.5593952581019125,0.118790516203825
40717,0.448673,X,24840,201.36958277142844,-43.01672317881246,7798,2CXO J132528.6-430100,0,0.5283240693244226,0.0566481386488451
40719,0.448673,X,24841,201.36958277142844,-43.01672317881246,7799,2CXO J132528.6-430100,2,0.5095072941069344,0.0190145882138688
40721,0.448673,X,24842,201.36958277142844,-43.01672317881246,8490,2CXO J132528.6-430100,5,0.5716163084235178,0.1432326168470357
40723,0.448673,X,24843,201.36958277142844,-43.01672317881246,8489,2CXO J132528.6-430100,0,0.5292951938867474,0.0585903877734946
