col1,name_1,obsid,region_id,theta,ra,dec,significance,likelihood,src_area_b,flux_aper_b,hard_hm,hard_hs,hard_ms,powlaw_gamma,bb_kt,var_prob_b,var_sigma_b,var_mean_b,var_min_b,var_max_b,var_prob_h,var_sigma_h,var_mean_h,var_min_h,var_max_h,var_prob_m,var_sigma_m,var_mean_m,var_min_m,var_max_m,var_prob_s,var_sigma_s,var_mean_s,var_min_s,var_max_s,ks_prob_b,ks_prob_h,ks_prob_m,ks_prob_s,kp_prob_b,kp_prob_h,kp_prob_m,kp_prob_s,gti_start,gti_stop,gti_elapse,cluster,prob_0,prob_1,prob_2,prob_3,prob_4,prob_5,main_id,ra_x,dec_x,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,main_type,other_types,radvel,redshift,sp_type,morph_type,plx,pmra,pmdec,size_maj,size_min,size_angle,B,V,R_x,J,H,K,u,g,r_xa,i,z,angDist,name_2,class,GroupID,GroupSize
21486,2CXO J114837.2+554459,6943,19,9.618033580789723,177.15514658313202,55.74997601715047,17.929391669601557,1040.2433143810194,23.551235895463446,1.1542051281552E-13,0.14490943160525,-0.15365396627108,-0.29106808244847,1.67748,0.632458,0.068587908312534,2.3217980619274874E-5,0.010584960608681535,0.010561742628062261,0.01060817858930081,0.23830905524134,1.0133531085234205E-4,0.003558541148955451,0.003457205838103109,0.0036598764598077932,0.09079869376923,2.0328764401122273E-6,0.003558541383248412,0.0035565085068082996,0.003560574259688524,0.094056668694277,6.313843368462935E-6,0.0034678779183365455,0.0034615640749680824,0.0034741917617050083,0.48718589710236004,0.69327722360718,0.33290574736978995,0.5074435142704801,0.17493843583156998,0.950636239039531,0.45581147873564,0.6211610117400099,2.7407673264937E8,2.7412085184971E8,44119.20033997297,1,0.0,0.9999999999352553,6.07277498970908E-11,3.861251823477662E-12,1.7748009954359886E-16,1.5694539833847604E-13,SDSS J114837.20+554459.6,177.1550400868,55.7498990968,0.001,0.001,90.0,7,11 48 37.20962,+55 44 59.6367,QSO,QSO|QSO|*  |QSO|QSO|Rad,101204.4963,0.421,,,,-2.39,-2.01,,,,,,,,,,21.124,20.401,19.617,19.034,18.719,0.351054,2CXO J114837.2+554459,QSO,,
21496,2CXO J114851.6+124949,9406,30,10.60218285515466,177.2153996398539,12.830475615339443,14.050346169321516,693.2615286077715,15.07505951419065,8.6785102912888E-14,0.022485946283573,-0.13116801998751,-0.1524047470331,2.29458,0.592297,0.063210677091829,8.142303954209937E-6,0.009653363145761202,0.009645220841806992,0.009661505449715412,0.54246641449661,6.276230662068008E-4,0.00347264561738972,0.0031091709926415493,0.007236239698490349,0.11913316278321,2.4793538249259133E-5,0.00357727382626929,0.003552480288020031,0.003602067364518549,0.19004636566033,1.442521298445059E-4,0.0026040739522945923,0.002525872144707743,0.003750216485048974,0.18244361146295995,0.49803219581706004,0.46699554401295995,0.15227553654099002,0.36391992886470004,0.32741578998204,0.48981931409435,0.32451213841687,3.2437444500718E8,3.2441335620748E8,38911.20030003786,1,0.0,0.9999999999972573,1.294247543637856E-12,3.1489476508549975E-15,1.446005945458866E-12,3.47930060904602E-17,[VV2006] J114851.7+124950,177.2155584779,12.8304759751,0.0,0.0,90.0,15,11 48 51.73403,+12 49 49.7135,QSO,QSO|QSO|*,175860.9267,0.95909,,,0.4329,0.31,-0.26,,,,20.07,19.63,,,,,20.154,19.574,19.078,18.93,18.722,0.557541,2CXO J114851.6+124949,QSO,,
21498,2CXO J114852.7+514541,7643,3,6.113667963147758,177.21963155734022,51.76158809664518,14.546248407494687,900.2777431496537,1.8107418658407588,8.0277976107535E-14,0.0024984384759525,-0.38351030605871,-0.38475952529669,2.13876,0.391438,0.068499593920221,4.66334690780567E-6,0.008955450110606914,0.00895078676369911,0.008960113457514721,0.52903682860352,3.8480788411336924E-4,0.0022240430126881294,0.0019578257643662832,0.004908352266213124,0.13939592945066,4.498146590999631E-5,0.0029806463556184323,0.0029311820924650175,0.003038428759370184,0.081307647834878,1.600631283734715E-5,0.003746477948274171,0.0037239172493258687,0.0037589304638553423,0.38642307882946003,0.48722722347748004,0.5200701787358,0.36444149338113996,0.13519844974497996,0.70856627589078,0.22980830838681,0.53267404793881,2.9431784094566E8,2.9435188254553E8,34041.59987002611,1,0.0,0.9999999999989626,5.445189901675769E-15,2.1879784229422244E-21,1.0335276548235797E-12,1.8218240834323532E-17,LAMOST J114852.69+514542.0,177.219553787,51.7616414604,0.0,0.0,90.0,6,11 48 52.69291,+51 45 41.9093,QSO,QSO|QSO|*  |QSO|QSO|Rad,167012.4074,0.875,,,0.2274,1.23,0.82,,,,,,,,,,19.923,19.727,19.707,19.766,19.396,0.258716,2CXO J114852.7+514541,QSO,,
21503,2CXO J114924.7+561353,4740,58,8.524512510096626,177.3531344505085,56.231607426182585,13.427310824355216,719.4787939259506,11.754650982606238,6.0668344074967E-14,-0.14116177389132,-0.29856339787633,-0.16364772017489,2.25943,0.515613,0.15392522669474,7.305478480331918E-5,0.004666739615933064,0.004569999726390072,0.004737613686155834,0.30044662118003,1.1718802503670812E-4,0.001324514231922465,0.0012257773299053525,0.002188975682864142,0.3510404375089,1.338095930720559E-4,0.0020940482130261265,0.0019321274393394301,0.0022211103678567014,0.40100591576627,1.5417957035117073E-4,0.0012609043669944704,0.001117482245087101,0.001479779651269489,0.9058212471563,0.6917617577213,0.923500220732104,0.71382044551345,0.6498827109901,0.16730112403944997,0.86665965788802,0.84234275317284,2.2445517464634E8,2.2451335064612E8,58175.999779999256,1,0.0,0.9941260824903282,0.00587044648543339,3.4708303105721753E-6,1.9378648120914413E-10,1.4432074704581569E-13,[VV2006] J114924.7+561354,177.3525816063,56.2317353094,0.0,0.0,90.0,19,11 49 24.61959,+56 13 54.2471,QSO,QSO|QSO|QSO|*  |QSO|Rad|QSO,156295.334,0.7828,,,,0.28,-0.24,,,,19.07,19.03,,,,,18.797,18.616,18.715,18.772,18.634,1.19822,2CXO J114924.7+561353,QSO,,
21506,2CXO J114931.7+223029,3589,19,3.102799784868127,177.38233163591792,22.508064567439373,12.966523493867891,1102.7642686721197,0.4677536797915368,1.1695215395801E-13,-0.032479700187383,-0.19113054341037,-0.15865084322299,1.89983,0.580169,0.085727221508064,2.4949183864817277E-5,0.010341369456094094,0.010316420272229277,0.010366318639958912,0.56624082264288,5.680541371818103E-4,0.002856091886924556,0.002517083583488293,0.008109536785062519,0.27994529001177,4.1556782965335674E-4,0.0041859739254332265,0.003919430601925558,0.006553037607814996,0.1532089072127,1.6156598530867318E-4,0.003299401982814091,0.003203742277822395,0.004455212216598592,0.25475969147786004,0.83596196121661,0.32082327633082997,0.38800683620714005,0.15081013106329,0.5416569412523999,0.19237063261543996,0.10891231121356004,1.6103517410963E8,1.610554903541E8,20316.244470000267,1,0.0,0.999999772227665,2.2671983206624105E-7,5.79400317702763E-17,1.0525040409908307E-9,8.065999775189295E-19,3XMM J114931.7+223028,177.3823287683,22.507878515,0.0,0.0,90.0,11,11 49 31.75890,+22 30 28.3627,QSO,QSO|QSO|X  |QSO|IR |QSO|*,176018.3681,0.96066,,,,0.26,0.2,,,,17.52,17.28,,15.632,15.139,14.526,17.126,16.992,16.87,16.963,16.853,0.669857,2CXO J114931.7+223029,QSO,,
21509,2CXO J114943.9+561439,4740,134,10.0979570907536,177.4331248235584,56.24423381879345,10.082349967227685,246.76157102906697,54.60179481893253,3.4858050572146E-14,0.21361648969394,0.047470331043098,-0.1686445971268,1.42842,0.719001,0.085544042249779,1.3956463801052116E-8,0.00313097678918866,0.003130962832724859,0.003130990745652461,0.41561581563018,1.4359028226812687E-4,0.0013193529368416249,0.00123906903546199,0.0025724883679747014,0.12235673854322,2.3830874906109993E-5,0.0010202089974873881,0.0010098835926843055,0.001213641194564497,0.29964158466189,4.381433910036847E-5,7.915352905847073E-4,7.694612113345021E-4,0.0011948471017176794,0.26483367656762,0.1188790313425,0.044798289955919945,0.43419683349527005,0.53317790400637,0.16682798713034996,0.019152801131830044,0.71241816623649,2.2445517464634E8,2.2451335064612E8,58175.999779999256,1,0.0,0.9601504601788423,1.6524717769362915E-63,0.039720084548585534,1.439195844657127E-16,1.2945527257112068E-4,SDSS J114943.95+561440.0,177.4331276587,56.2444408617,0.001,0.001,90.0,4,11 49 43.95064,+56 14 39.9871,QSO,QSO|QSO|*  |QSO|Rad,252643.896,2.423,,,1.6903,-2.04,-0.8,,,,,,,,,,21.499,20.623,20.825,20.825,20.616,0.745376,2CXO J114943.9+561439,QSO,,
21522,2CXO J115042.3+561149,4740,76,13.97685103678825,177.6765164509393,56.197172631295494,12.522664181303988,414.61579890504737,172.26051962507137,9.4683922409727E-14,0.074953154278576,-0.22860712054966,-0.29731417863835,1.99048,0.360456,0.031323629083356,4.249523050511233E-6,0.010016827261663676,0.010011037880672714,0.01002282114837025,0.046929062709529,3.23911636104367E-6,0.004432622154900961,0.0044288518091769235,0.004436776836410982,0.34738826169537,1.375379334097441E-4,0.0027398266931092426,0.002602288759699498,0.0028773646265189863,0.40056581521289,3.551026259974547E-4,0.002844199159563778,0.0026538009005971303,0.005139801835452621,0.54136689353831,0.10327987490217005,0.95518487609999,0.5276901274624299,0.80895305156695,0.21968479918185002,0.977910160499425,0.44805276771369995,2.2445517464634E8,2.2451335064612E8,58175.999779999256,1,0.0,0.99999999999946,6.647537470967836E-20,1.0079706741136112E-15,4.062388412922868E-20,5.454259293237276E-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2CXO J115042.3+561149,QSO,,
21525,2CXO J115050.4+561143,4740,75,14.95381054428328,177.7104075777671,56.195433044647466,8.819829710509067,155.40564804821747,1194.103884612397,2.1718738053446E-14,-0.056214865708932,-0.32479700187383,-0.26733291692692,1.93147,0.517118,0.12586312088871,4.5184115757404726E-5,0.0053461475347914775,0.005300963419034072,0.005391331650548881,0.46708463734217,3.329201933846562E-4,0.0022176192807859007,0.0020310612488113446,0.004964743040022021,0.27913149799815,1.3002225465770598E-4,0.001581496407398883,0.0014918073841000607,0.0023601456003248637,0.13578435877896,5.5406388428240504E-5,0.0015471029572155911,0.0015182785228552243,0.0018862077838680965,0.81933410335994,0.957655205761799,0.04598339742654001,0.6850591121165099,0.54797129075902,0.900538735867108,0.06286470426340995,0.69244714025713,2.2445517464634E8,2.2451335064612E8,58175.999779999256,1,0.0,0.9999972866438617,2.713303627220138E-6,7.087398776358172E-20,5.251332592814207E-11,3.3424163816810883E-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2CXO J115050.4+561143,QSO,,
21536,2CXO J115106.6+471157,15025,1,0.1823548123352619,177.77785510778745,47.19937228842376,16.00771759833459,1934.583565359235,0.0026906602057041686,5.8080441381788E-13,0.078700811992505,-0.10618363522798,-0.18363522798251,1.52184,0.613147,0.12004633035039,4.939867554715344E-4,0.0640955971850431,0.06360161042957155,0.06458958394051462,0.10968133248808,4.351336768161628E-8,0.020116159713430594,0.020116116200062914,0.020116203226798277,0.14138232383421,2.4659436457322853E-4,0.022679979126398703,0.02243338476182548,0.022926573490971935,0.17472859019688,6.035763902620005E-4,0.021299457482805175,0.020615779517319542,0.022167051689930765,0.76852482980204,0.15858159372520997,0.75447008005192,0.89170243799603,0.63572303761877,0.07377215497568002,0.6158929085339,0.6727237673459501,4.8544201463061E8,4.8544708623065E8,5071.6000400185585,1,0.0,0.9934415842890005,1.129393745993917E-47,6.920022108865306E-12,4.051124924619549E-72,0.006558415704077072,[VV2000] J115106.8+471157,177.7779293199,47.1993711968,0.0,0.0,90.0,22,11 51 06.70304,+47 11 57.7363,QSO,IR |QSO|QSO|*  |QSO|Rad|Rad,80607.8167,0.317393,,,0.0145,-0.06,-0.22,,,,17.78,17.45,,15.683,15.091,14.182,17.642,17.317,16.975,17.152,16.34,0.181567,2CXO J115106.6+471157,QSO,,
21544,2CXO J115246.1+232832,12196,8,20.04861471108797,178.19235013684602,23.475809631954245,18.205459597385236,1109.2268261640077,460.5959344185786,1.6730698557079E-12,0.16114928169894,0.16239850093691,0.0012492192379763,1.87313,0.740704,0.10221802319525,0.0011486231453572632,0.11432820768707137,0.11322702922514051,0.11600131257280732,0.29773493080851,0.0031589494070702866,0.04911274137366674,0.04420326744915387,0.05287933371118881,0.057197489299345,1.849619529643013E-4,0.04546891665489464,0.04522974096626708,0.04569212522906368,0.14248853705946,2.0361660907076105E-4,0.01989207903962239,0.01968846243055163,0.02009569564869315,0.84003730763688,0.969018609504949,0.54808076246144,0.22135987709807003,0.9945481934267777,0.9914210995060814,0.63095508106984,0.25904555020857,4.4607277717457E8,4.4607754981132E8,4772.636749982834,1,0.0,0.9999112065693598,8.493805298656947E-5,3.8553725424584745E-6,4.0652819112349695E-12,1.0520562908822625E-12,UGC  6855,178.1929563019,23.4760818113,0.002,0.002,90.0,19,11 52 46.30951,+23 28 33.8945,Seyfert_2,AGN|G  |Sy2|*  |G  |G  |GiC|G  |GiG|GiG,6537.5611,0.02205,,S0,,,,0.573,0.298,130,16.0,,,11.719,10.937,10.533,16.776,14.873,13.881,13.378,12.959,2.228536,2CXO J115246.1+232832,GALAXY,,
21566,2CXO J115449.9+231924,5003,79,14.71869492840306,178.70825177627808,23.323475617250992,9.305926862241863,541.7395643466785,38.37869526875377,3.845982899254E-14,0.3472829481574,0.54091193004372,0.22985633978763,2.04053,0.841281,0.061475409554314,3.7976725880957234E-6,0.0052277381827922145,0.005223940510204119,0.005231535855380311,0.055317332588193,3.982493018309455E-6,0.002865028129350994,0.002861709007158847,0.0028711763371862442,0.091079293675947,2.9308382774370073E-5,0.001452910214779578,0.0014408537440801505,0.00175729498665654,0.21412633002877,2.5194394662272186E-5,9.097351673910035E-4,8.845407727287312E-4,9.349295620532756E-4,0.13429790905769,0.22584223517633994,0.05288274178873997,0.23732019000801996,0.13609803068683002,0.6191407345978299,0.20713916839482005,0.10890593094634005,1.9493108040175E8,1.9500713134363E8,76050.94187998772,1,0.0,0.9997894813372548,5.537198362048068E-19,2.1051866250755205E-4,5.517247493402418E-19,2.3679981768301133E-13,2XMM J115449.9+231925,178.70825,23.3234722222,0.075,0.072,0.0,1,"11 54 49.980  ","+23 19 24.50  ",X,X,,,,,,,,,,,,,,,,,22.183,21.448,20.457,20.026,19.604,0.01356,2CXO J115449.9+231924,GALAXY,,
