,name,obsid,main_type,AGN,HMXB,Orion_V*,QSO,YSO
14219,2CXO J122438.2+131612,15665,QSO,0.2360452734837072,0.15503076672380176,0.17162298001005186,0.30977846140460163,0.12752251837783762
14221,2CXO J122440.8+072203,5922,HMXB,0.2336977810305803,0.27176884850883626,0.12024718057486156,0.22778697054372826,0.14649921934199361
14244,2CXO J122513.5+132037,15665,QSO,0.21865077193026133,0.1568267301096417,0.14409967428518608,0.31413634530080864,0.1662864783741023
14254,2CXO J122529.7+130116,15149,QSO,0.34919526703047044,0.14332274092741445,0.04926182288088608,0.3515823199329221,0.1066378492283069
14257,2CXO J122536.7+125956,15149,AGN,0.3093850703962417,0.14591543305319413,0.14099460087111895,0.3017665425722729,0.10193835310717234
14281,2CXO J122609.0+130711,15149,AGN,0.334744408680506,0.2696890236514286,0.09262013646147617,0.203918269880264,0.09902816132632528
14282,2CXO J122609.7+215324,12878,QSO,0.32997894516318393,0.09487263051127592,0.1217175014446411,0.3468318989139343,0.1065990239669647
14294,2CXO J122648.3+752614,2486,AGN,0.3433886357358165,0.2158111158652857,0.13879995848582471,0.23381636986973817,0.06818392004333501
14302,2CXO J122658.3+215336,12878,QSO,0.24491248538320826,0.15042185047403883,0.16183465560688973,0.2568838884805688,0.18594712005529432
14305,2CXO J122715.1+441117,10875,QSO,0.21915353270669735,0.14646879583784808,0.151691289751928,0.43547539778115285,0.047210983922373786
14308,2CXO J122718.0+092705,14902,QSO,0.35251793577413554,0.10926054355004809,0.09350632700294523,0.3876236909971577,0.05709150267571347
14330,2CXO J122813.2+440655,2031,HMXB,0.11448943607673576,0.3290219964162747,0.23191353155546754,0.12688998727987869,0.19768504867164316
14333,2CXO J122832.2+032530,3150,AGN,0.2620864627747321,0.2118020705420966,0.18261887668543106,0.2110102504305984,0.1324823395671418
14335,2CXO J122849.1+753517,2253,AGN,0.30379812620528085,0.2059496408364337,0.09799947770704366,0.2349780062001883,0.1572747490510534
14337,2CXO J122851.3+033644,3150,QSO,0.2631420902497691,0.2313933866033705,0.10818789014674442,0.3281170539677462,0.06915957903236972
14338,2CXO J122851.6+033011,3150,AGN,0.26755908303081,0.26126265239169505,0.09303721280269674,0.2457973181417943,0.1323437336330039
14354,2CXO J122910.9+080323,321,HMXB,0.2347921814894384,0.3140838962242318,0.14496040598086085,0.20165544946692204,0.10450806683854698
14368,2CXO J122932.1+134405,4688,QSO,0.27032740199961863,0.224161353292166,0.12098736833016888,0.36583283467423766,0.018691041703808857
