,name,obsid,main_type,BYDra,Candidate_YSO,Orion_V*,TTau*,YSO
5985,2CXO J052319.3+333232,6406,TTau*,0.20905485511064295,0.2280198858417611,0.14970927839791395,0.25588956906696814,0.1573264115827138
6049,2CXO J053214.4-711010,3848,Candidate_YSO,0.20366969441771615,0.31237112196668065,0.16156976643154575,0.18677030260474395,0.13561911457931355
6340,2CXO J053457.7-052350,4373,TTau*,0.09580043099371797,0.1399237717285905,0.18601405387272738,0.32852819693216595,0.24973354647279822
6378,2CXO J053501.0-052410,4373,Orion_V*,0.05962577560945176,0.10238976611975807,0.35943961462307883,0.1915393727655651,0.28700547088214634
6379,2CXO J053501.0-052410,3744,Orion_V*,0.060465677481148984,0.10508860420957297,0.3880357091541001,0.1632167306827247,0.2831932784724533
6380,2CXO J053501.0-052410,1522,YSO,0.1003950324261042,0.10574141886034738,0.28606994016908643,0.15233466290463596,0.355458945639826
6381,2CXO J053501.0-052410,15546,Orion_V*,0.08457496876238395,0.14472970970952,0.3159678123738131,0.21794423275384892,0.2367832764004341
6412,2CXO J053502.1-052909,4373,Orion_V*,0.08071553632891423,0.08875083733343947,0.3370187601295006,0.1618134360862217,0.331701430121924
6413,2CXO J053502.1-052909,4374,Orion_V*,0.08337875398846918,0.08584080055171724,0.3497589936760414,0.14215412885520512,0.33886732292856714
6460,2CXO J053504.3-052313,4396,Orion_V*,0.15164474763722693,0.18469505713169732,0.3287920694765487,0.14059786879709832,0.1942702569574287
6464,2CXO J053504.3-052313,3744,Candidate_YSO,0.3808476282993077,0.3997897726550079,0.1032196225921445,0.06756584324852134,0.04857713320501843
6594,2CXO J053508.7-052256,4374,YSO,0.08080028586016243,0.10502391641240146,0.28837482378450735,0.1601198480397307,0.36568112590319807
6595,2CXO J053508.7-052256,4396,Orion_V*,0.07024065976094056,0.1021479628203678,0.33639475881835407,0.20323956113354089,0.28797705746679675
6596,2CXO J053508.7-052256,3744,Candidate_YSO,0.20573512070972183,0.24322498844640913,0.22370263663207038,0.15638263953380915,0.1709546146779895
6597,2CXO J053508.7-052256,4395,Orion_V*,0.05416339518648114,0.058003587725920264,0.42135079353532584,0.10952087807311926,0.3569613454791536
6598,2CXO J053508.7-052256,4373,YSO,0.15536530619208724,0.11815873997082571,0.29375728373632426,0.07283714449717918,0.3598815256035836
6707,2CXO J053510.6-052303,4373,YSO,0.12634250566129568,0.14437540129643095,0.1912493334801502,0.06390993979009493,0.4741228197720282
6761,2CXO J053511.5-052447,4395,YSO,0.15644533415187084,0.20888787409287823,0.11472389428740223,0.13808492523557242,0.38185797223227624
6763,2CXO J053511.5-052447,3744,Candidate_YSO,0.4479568618972284,0.4740282822922819,0.0012314018950004045,0.06211779505973496,0.014665658855754138
6827,2CXO J053512.5-052301,4374,Candidate_YSO,0.37058236038509546,0.4197016438813361,0.031951330399160295,0.10341642602476188,0.07434823930964617
6865,2CXO J053513.0-052200,4396,YSO,0.16212678445072468,0.1707289002556373,0.20244057498165294,0.09109642749838287,0.37360731281360215
6908,2CXO J053513.6-052230,6419,BYDra,0.6501812281384047,0.15469640721298344,0.002189745226972398,0.014163049781535687,0.17876956964010368
6936,2CXO J053513.7-052217,6419,BYDra,0.6501812281384047,0.15469640721298344,0.002189745226972398,0.014163049781535687,0.17876956964010368
6945,2CXO J053513.8-052208,4396,Candidate_YSO,0.27898793387255044,0.30916090922023065,0.14997089202795744,0.05810145572607615,0.20377880915318541
6949,2CXO J053513.8-052229,6419,BYDra,0.6501812281384047,0.15469640721298344,0.002189745226972398,0.014163049781535687,0.17876956964010368
6959,2CXO J053513.9-052231,6419,BYDra,0.6501812281384047,0.15469640721298344,0.002189745226972398,0.014163049781535687,0.17876956964010368
6991,2CXO J053514.3-052230,6419,BYDra,0.6501812281384047,0.15469640721298344,0.002189745226972398,0.014163049781535687,0.17876956964010368
6995,2CXO J053514.3-052235,6419,BYDra,0.6501812281384047,0.15469640721298344,0.002189745226972398,0.014163049781535687,0.17876956964010368
