,name,obsid,main_type,AGN,HMXB,Orion_V*,QSO,YSO
13055,2CXO J105426.8-053512,4211,HMXB,0.23634507534369664,0.39324830633285796,0.1714199272547943,0.11096757916125821,0.08801911190739273
13071,2CXO J105705.1-033541,512,AGN,0.3295144841820178,0.20350099002177088,0.07570691501106815,0.2891577162976933,0.10211989448744982
13072,2CXO J105710.5-034014,512,QSO,0.34106363080263175,0.21918223817445867,0.03996722873412588,0.35180416141475546,0.047982740874028304
13074,2CXO J105738.1-521733,13789,AGN,0.29524181184968346,0.17648340570534568,0.1811544773165426,0.2249287932852121,0.12219151184321626
13076,2CXO J105804.8-522116,13789,QSO,0.24620803238654818,0.22403052862793088,0.0789712470891247,0.2763546492241572,0.17443554267223904
13084,2CXO J105819.4+195253,7795,HMXB,0.22632484247105703,0.2785305754279057,0.18997319941327942,0.15017115385951768,0.15500022882824038
13105,2CXO J110325.7+180843,3149,HMXB,0.19224304465274525,0.36882740426725436,0.13249791466265778,0.1687690391666877,0.13766259725065497
13122,2CXO J110522.4+001026,9552,AGN,0.2885152946138785,0.231617902878453,0.1737574230597427,0.26198837506412564,0.04412100438380002
13124,2CXO J110534.7+000300,9552,AGN,0.3520906093148701,0.14927693801806508,0.11109747753393956,0.27382094100902715,0.11371403412409824
13129,2CXO J110545.9-000259,9552,AGN,0.42962848013965255,0.26745013876573315,0.1283259137040245,0.047972159445967416,0.1266233079446223
13136,2CXO J110701.9-053221,5825,QSO,0.19919636734871926,0.14892432160691596,0.24519624938323847,0.27100530164719705,0.13567776001392934
13143,2CXO J110733.3-051916,5887,AGN,0.30954241094062845,0.21347512736758517,0.09593452348973396,0.30422274076878303,0.07682519743326942
13159,2CXO J111017.2+554417,2025,AGN,0.3304714476813432,0.1681417963821432,0.28589577206178773,0.17920179994789448,0.03628918392683149
13167,2CXO J111048.2-372645,3217,QSO,0.27287337816397483,0.12718976060908532,0.12753306075296295,0.3148588890216749,0.157544911452302
13186,2CXO J111149.1-763029,1867,AGN,0.33726970809652673,0.23878088742953082,0.07905539408876991,0.20452622029238662,0.1403677900927859
13207,2CXO J111239.3-260916,915,AGN,0.4955462675257326,0.11403483069112871,0.05212570513442802,0.2849251406674878,0.053368055981222906
13209,2CXO J111240.8+553825,2025,QSO,0.28695442597207527,0.18377809324238523,0.10280427268520122,0.3500673316664963,0.07639587643384212
13211,2CXO J111247.5+132419,4216,AGN,0.3096778259533621,0.22705486740423725,0.12314205547232636,0.26859199491076274,0.07153325625931153
13215,2CXO J111254.5-260916,915,HMXB,0.15968416629286486,0.254772992757715,0.18175255590329295,0.24807813077226104,0.15571215427386614
13220,2CXO J111306.7-763856,1867,AGN,0.3402809869803773,0.18557836423787022,0.160424797509979,0.1973205216865413,0.11639532958523222
13221,2CXO J111308.3-261924,915,QSO,0.2647090336658645,0.17820094608769144,0.049513451272176906,0.4146213921944297,0.09295517677983736
13234,2CXO J111404.2-264838,9506,AGN,0.4069222372567816,0.08998751230906575,0.049854586912497834,0.3441738867921023,0.10906177672955263
13261,2CXO J111506.8-611535,633,Orion_V*,0.06140539642362826,0.3277563567196194,0.34156073943733295,0.025817953985561425,0.24345955343385803
13291,2CXO J111507.5-611654,12328,YSO,0.09695196825906943,0.15530095997983046,0.21776313019738572,0.005737033810618204,0.5242469077530961
