,name,obsid,main_type,BYDra,Candidate_YSO,Orion_V*,TTau*,YSO
19216,2CXO J171251.4-383512,13621,TTau*,0.11793809724762698,0.13717433140986246,0.21862882610620027,0.37660517850580816,0.14965356673050215
19219,2CXO J171340.5-395213,5559,Orion_V*,0.1324057236519728,0.1725427588250625,0.32267718072141105,0.18843488238265632,0.18393945441889734
19227,2CXO J171413.0-293255,11073,YSO,0.043050054132233756,0.09906394399752484,0.28228014167320775,0.2363106419602575,0.33929521823677605
19243,2CXO J171632.6+430229,5241,YSO,0.17099150844902955,0.21990327271756757,0.18039086522660722,0.1818276161143013,0.2468867374924943
19255,2CXO J171745.0-321123,5448,YSO,0.03651335114234152,0.0852299865842081,0.30770045890261255,0.1883045167939485,0.38225168657688935
19284,2CXO J171951.8-361116,13436,Candidate_YSO,0.15006168621874105,0.2721942494774157,0.1662695452487542,0.14771872189811677,0.26375579715697234
19295,2CXO J172011.0-360759,13436,Candidate_YSO,0.2784663507529087,0.30657611222203396,0.1356684200088481,0.11043334208199074,0.16885577493421836
19417,2CXO J172445.5-341017,10988,YSO,0.1728621887800262,0.2123180346531364,0.06526647612803237,0.23786943720927742,0.3116838632295277
19454,2CXO J172557.4-341616,10988,Orion_V*,0.029686146300534996,0.047930543483997494,0.4503254220532302,0.12551102697916966,0.3465468611830677
19481,2CXO J172624.2-341643,10988,YSO,0.04923342423896182,0.10924181705132112,0.21995972590267854,0.17354825659515738,0.4480167762118811
19502,2CXO J173032.6-211936,6715,Orion_V*,0.07494861207518962,0.12328750226157234,0.43630298615088736,0.12866295932372174,0.23679794018862885
19527,2CXO J173045.0-212733,6714,Candidate_YSO,0.2318938747145245,0.2992639699998468,0.07948358965610279,0.19812997404511745,0.19122859158440844
19549,2CXO J173058.6-212822,6714,YSO,0.15771098227846267,0.13633724612294784,0.2467332154595278,0.14878628436956812,0.31043227176949345
19626,2CXO J174033.3-534346,7460,Candidate_YSO,0.4057264187044216,0.41552724863410634,0.03320463420887664,0.12122658698855168,0.024315111464043776
19677,2CXO J174113.5-534514,7460,Candidate_YSO,0.457007834441975,0.46350996304539593,0.0035611872408228295,0.07589180066335399,2.9214608452230384e-05
19699,2CXO J174216.9-283707,8206,YSO,0.1990460136073612,0.21940566614296114,0.11925499397542783,0.16282982414655695,0.29946350212769285
19723,2CXO J174426.5-290329,7036,TTau*,0.07607847399928822,0.12079437313150125,0.14362722997425695,0.3589861969633234,0.30051372593163006
19727,2CXO J174431.8-114328,7646,Orion_V*,0.027840083311769768,0.12736606497531122,0.31172216464600483,0.24067409011789076,0.2923975969490234
19768,2CXO J174501.1-295813,6260,YSO,0.09043226302672815,0.14900620867032202,0.20966544370253662,0.1816262471146955,0.3692698374857176
19785,2CXO J174534.0-290134,8567,Candidate_YSO,0.46635225063643276,0.4967507957577101,1.9069370892893363e-05,0.03685772692965014,2.0157305314259084e-05
19786,2CXO J174534.1-290118,8567,Candidate_YSO,0.46635225063643276,0.4967507957577101,1.9069370892893363e-05,0.03685772692965014,2.0157305314259084e-05
