,name,obsid,main_type,PartofG,Pulsar,Radio,Seyfert_2,YSO
3858,2CXO J022123.1+421722,4613,Radio,0.20275822845339248,0.2604309686423971,0.2659705753871138,0.03393594072712397,0.23690428678997258
3901,2CXO J022458.1+621401,5890,Radio,0.1849375914055329,0.25513380927937396,0.2721998879210729,0.04659051547545243,0.24113819591856775
4203,2CXO J031215.4+011638,11887,Radio,0.15769085370680958,0.22689079720033134,0.25735427233681346,0.1692673505337347,0.18879672622231078
4273,2CXO J031813.5+415212,3237,Radio,0.17265654875926148,0.23402215720072025,0.273110733605836,0.10902143633074726,0.21118912410343518
4305,2CXO J031902.6+413916,4952,Pulsar,0.18877010943669317,0.24769394514486734,0.24679444132762668,0.09325261881496051,0.22348888527585234
4317,2CXO J031921.1+413119,6145,Radio,0.2010011194777361,0.2564469600245043,0.26003301129700396,0.036394760483854385,0.2461241487169012
4363,2CXO J031948.1+413046,12036,Seyfert_2,0.08704774702625535,0.1218985803797867,0.11286108082571024,0.5729564517001329,0.10523614006811483
4364,2CXO J031948.1+413046,11713,Seyfert_2,0.07346877641803261,0.10517448540076223,0.09671669166017388,0.6344947814102669,0.09014526511076433
4382,2CXO J031948.7+413047,12036,Seyfert_2,0.08704774702625535,0.1218985803797867,0.11286108082571024,0.5729564517001329,0.10523614006811483
4383,2CXO J031948.7+413047,11713,Seyfert_2,0.07346877641803261,0.10517448540076223,0.09671669166017388,0.6344947814102669,0.09014526511076433
4420,2CXO J032623.2-211015,4372,Pulsar,0.1881802339458333,0.2391055388502829,0.23561705543113184,0.11287398985437339,0.22422318191837856
4624,2CXO J033224.5-272932,9596,Pulsar,0.18855601182150328,0.27469008873184597,0.26674839283384016,0.035627448477852264,0.23437805813495827
5156,2CXO J034419.7+315918,8944,Radio,0.19568707401404584,0.2610984765291919,0.26308932506598637,0.04007640948476041,0.24004871490601545
5370,2CXO J041120.7-282410,4106,Radio,0.19794531203086718,0.25931525094773694,0.26474078728825,0.036265549336443284,0.24173310039670268
5535,2CXO J042958.7+643936,782,Radio,0.19597926601527804,0.2664525020155936,0.2705056904297397,0.0203994471093418,0.24666309443004683
5547,2CXO J043014.6+351612,5428,Radio,0.18870404641710775,0.25110467715725765,0.26074511567548364,0.07266020211927839,0.22678595863087253
5715,2CXO J044958.5+450144,2218,Pulsar,0.17760343375586338,0.24515259378942245,0.23242537571321203,0.13066075012242725,0.21415784661907486
5750,2CXO J045405.5-031303,902,Pulsar,0.18442019270661733,0.24300588528296957,0.23545685869051206,0.11946284625848679,0.21765421706141425
5838,2CXO J050525.5-673857,3876,Pulsar,0.1998569087589393,0.26986837203392655,0.26186274293311534,0.021437637592762106,0.24697433868125668
5841,2CXO J050529.6-645621,3946,Seyfert_2,0.12844887652920897,0.1630453549826536,0.1908106316634651,0.3596003605498596,0.1580947762748127
6759,2CXO J053511.5-052447,4374,YSO,0.1719771782718333,0.22698742116252735,0.2263970720038037,0.14287091384222553,0.23176741471961007
7078,2CXO J053514.9-052339,15546,Radio,0.164762931141294,0.22747799616135955,0.25871694535322376,0.1438542102702946,0.20518791707382797
7279,2CXO J053515.9-052352,4395,Pulsar,0.19357850571533888,0.2699599051893477,0.2608387691871432,0.02715769946013449,0.24846512044803556
7319,2CXO J053516.2-052210,4396,Radio,0.1985549330603976,0.25951952622153474,0.26246417954331824,0.039426660976741155,0.24003470019800824
7460,2CXO J053517.2-052316,13637,Pulsar,0.19705348534372938,0.25532130184657753,0.24590646361707844,0.05813610552416204,0.24358264366845273
8704,2CXO J053649.8-691627,1967,Pulsar,0.19539634588123458,0.2655955115714287,0.26138903951036807,0.027160602338231206,0.25045850069873743
8712,2CXO J053657.1-691328,1967,Pulsar,0.19947701864351,0.27040003526566403,0.2647799852596763,0.020458211113172406,0.24488474971797716
8751,2CXO J053747.4-691019,17414,Seyfert_2,0.1442648853583381,0.2210095328446705,0.19192925349211704,0.2670763425549945,0.17571998574987982
8753,2CXO J053747.4-691019,16193,Pulsar,0.16246148762862564,0.23875096819790087,0.20956936108415308,0.17353766818805988,0.21568051490126042
8806,2CXO J053840.2-690559,16201,Pulsar,0.20012517818998607,0.2682620541432086,0.25476489849701206,0.02824727151095754,0.24860059765883583
8949,2CXO J053958.7-690609,17312,Seyfert_2,0.1498747078961925,0.2113267840556172,0.21103115653239826,0.23802274655296865,0.1897446049628234
9139,2CXO J054712.6-701353,1992,Radio,0.19749054132608815,0.26668752979879234,0.26835024722556006,0.020422369504423,0.2470493121451365
9145,2CXO J054735.9-702615,1992,Radio,0.19345092181528054,0.2664040810840659,0.26928802009047775,0.020963660532788423,0.24989331647738738
9150,2CXO J055008.5-702540,1992,Pulsar,0.19123368274103864,0.2607794884601231,0.2522390697298143,0.055668957784606905,0.24007880128441722
9238,2CXO J060745.3-062104,1882,Radio,0.19317279352451805,0.26185516326314007,0.2635189576627036,0.03507897694023912,0.24637410860939907
9961,2CXO J070401.5-112328,3751,Pulsar,0.19291074115679888,0.25581276732855995,0.2478892900569788,0.06852304357073986,0.2348641578869224
9966,2CXO J070411.9-112130,3751,Radio,0.19432868877310688,0.26058061684530215,0.266932455263405,0.04015297700127465,0.2380052621169113
10099,2CXO J072946.0+745548,12699,Pulsar,0.1881302715215173,0.2612409000084791,0.2602614938096918,0.059582401083197546,0.23078493357711408
10350,2CXO J083356.4-454005,12697,Pulsar,0.19197329883455083,0.26313191272139164,0.25436550161849864,0.052206744623708654,0.2383225422018504
