,name,obsid,main_type,HMXB,Orion_V*,QSO,TTau*,YSO
5567,2CXO J043116.8+644950,782,HMXB,0.32576508781278607,0.29823514941949136,0.1594376135465727,0.12229426899734036,0.09426788022380954
5587,2CXO J043201.2+180501,1866,YSO,0.2433786690045448,0.2591325461320253,0.12264861488507404,0.09697379456535139,0.2778663754130045
5614,2CXO J043436.4-131123,4976,HMXB,0.3855875161482804,0.1001198255571362,0.308835717045686,0.12319363037397824,0.08226331087491912
5615,2CXO J043535.2-124747,10492,Orion_V*,0.15950113106987193,0.30872008581037935,0.13251575334193738,0.16241892232744584,0.23684410745036547
5618,2CXO J043626.4-024925,6977,TTau*,0.24735130686551546,0.2325671489478402,0.08041448795683727,0.29276294849711526,0.14690410773269186
5638,2CXO J043858.1-291219,3577,QSO,0.13448402706740648,0.14576065481036474,0.28749900657990946,0.15996121367688074,0.27229509786543865
5649,2CXO J043940.5-290738,3577,QSO,0.2633776823469533,0.16335520819887628,0.3036750678498344,0.06300291205809974,0.2065891295462362
5657,2CXO J044038.5+502707,14572,YSO,0.23643874155737718,0.18673564456023803,0.059648051134043,0.05672407046659063,0.46045349228175114
5669,2CXO J044153.0-030134,1970,Orion_V*,0.21470435418388686,0.312327803915011,0.09895323636900376,0.12049334198095897,0.2535212635511393
5679,2CXO J044311.1+021820,4196,HMXB,0.273151815479094,0.22758468597000037,0.11730856577449858,0.20059179928822035,0.18136313348818672
5683,2CXO J044326.2+022122,4196,QSO,0.18348303112666367,0.16020200511341456,0.33520509221622347,0.14350818888877923,0.17760168265491905
5707,2CXO J044828.1-101410,13675,QSO,0.24037928454533758,0.12714923738930917,0.31332129792977137,0.23330837454854778,0.08584180558703414
5744,2CXO J045400.8+024952,9424,YSO,0.17954458121196246,0.2289057745529008,0.12457381135672926,0.14139641610671663,0.3255794167716909
5775,2CXO J045430.1+024809,9430,Orion_V*,0.12839700130916185,0.2615182983080923,0.21732639337711923,0.16594033715680642,0.2268179698488202
5804,2CXO J045536.3-512220,13474,Orion_V*,0.2160625833679712,0.2611768779971532,0.24855683842257836,0.11129396831083986,0.16290973190145724
5822,2CXO J050019.5-032107,13785,HMXB,0.5659587827399687,0.10791474582306512,0.09284658263091397,0.13759914681052807,0.09568074199552414
5846,2CXO J050606.9-320141,4062,Orion_V*,0.22486025736672405,0.23255641214885522,0.13643327597757873,0.21795755228740957,0.18819250221943237
5848,2CXO J050615.8-681507,2762,YSO,0.11829030304914291,0.18361094611419207,0.12453266869151178,0.2758291685811686,0.29773691356398474
5859,2CXO J050727.0-680043,3876,QSO,0.15891874124998476,0.0021736114009049644,0.7878236389000484,0.05071788734401746,0.00036612110504437675
5929,2CXO J051959.0-454448,14221,Orion_V*,0.19182037874766256,0.3283849931951194,0.06412348403991683,0.15412934060793404,0.2615418034093672
5930,2CXO J051959.0-454448,12039,HMXB,0.3367269287446972,0.17903396431994995,0.09613495570462538,0.14397518617911056,0.24412896505161696
5931,2CXO J051959.0-454448,12040,Orion_V*,0.14783306007279817,0.292512511394401,0.12990965600601598,0.18703121637557482,0.24271355615120999
5972,2CXO J052258.5+333303,6407,YSO,0.24323659333474398,0.09704034678268347,0.1334048888757449,0.11407946228220064,0.41223870872462687
5976,2CXO J052300.1+333530,6407,Orion_V*,0.1445161613982848,0.360653155342682,0.11410003528803947,0.07368483836296258,0.3070458096080312
5982,2CXO J052304.5+333529,6406,QSO,0.24655833388264303,0.14890256730956775,0.3540388724953796,0.06986770857308151,0.18063251773932812
5994,2CXO J052426.3-693614,7259,QSO,0.2034563314456483,0.2182311084934158,0.22341643122494845,0.14283656577111178,0.2120595630648756
5995,2CXO J052438.9+015406,8571,TTau*,0.18568102988983742,0.1308701490302364,0.11377865597837797,0.42966228762953973,0.14000787747200857
5996,2CXO J052454.9+013924,8573,Orion_V*,0.1899480684431328,0.27026351491456163,0.15152263727701315,0.12042095003704727,0.26784482932824516
6030,2CXO J052834.2-392314,15658,TTau*,0.12106949913412846,0.24643605472204538,0.08366120361627023,0.2897428815914027,0.25909036093615334
6041,2CXO J052945.8-710626,4421,YSO,0.1680551563209786,0.23728665403852858,0.087703067048385,0.17839602171915728,0.32855910087295054
6186,2CXO J053443.7+500547,12559,TTau*,0.1432274411775799,0.2614703239368161,0.10290077606302801,0.31163790409886366,0.1807635547237124
6337,2CXO J053457.7-052350,4395,HMXB,0.3100287638768875,0.24513760753374178,0.10701787116420178,0.08193096500451569,0.2558847924206533
6414,2CXO J053502.1-052909,3744,YSO,0.14736257438937855,0.24969912388100654,0.0627307322838068,0.06436860133287123,0.4758389681129369
6505,2CXO J053505.6-052504,3744,TTau*,0.19400981355791222,0.1386558979544759,0.129123148757572,0.3711282002056715,0.16708293952436845
6506,2CXO J053505.6-052504,4396,YSO,0.14517197760296088,0.15055644253675615,0.07769528398772978,0.2363697001122559,0.39020659576029737
6507,2CXO J053505.6-052504,4373,TTau*,0.21797905913564114,0.18444397972131682,0.16701760162438098,0.2588245985464468,0.17173476097221438
6508,2CXO J053505.6-052504,4374,QSO,0.33116381443239135,0.08820490197797946,0.3374366491815953,0.19075011885562287,0.05244451555241093
6675,2CXO J053510.4-052245,1522,Orion_V*,0.0854172333695689,0.32826080651922906,0.1701315241939033,0.18649019662943456,0.22970023928786434
6706,2CXO J053510.6-052303,3744,YSO,0.23528192492102964,0.10395661224562579,0.1739687947654767,0.08431403155993429,0.4024786365079335
6762,2CXO J053511.5-052447,4396,YSO,0.10393628752933476,0.20355046711162675,0.07400478894397235,0.06673004904009269,0.5517784073749735
6889,2CXO J053513.5-052330,1522,YSO,0.1411236176558064,0.18193676574063736,0.20833750160296635,0.18303734401352098,0.28556477098706895
6890,2CXO J053513.5-052330,4396,YSO,0.12670340269380223,0.22490232915602779,0.19028030758992978,0.20258158144858984,0.2555323791116502
