,name,obsid,main_type,AGN,HMXB,QSO,SNR,YSO
9305,2CXO J061642.7-575502,15588,HMXB,0.2609224905467901,0.40411073980926215,0.18884026575281707,0.07764286000765304,0.06848364388347765
9341,2CXO J062043.9-623241,9811,QSO,0.29822226330204993,0.06357046986341457,0.2999235028670351,0.156615039942643,0.18166872402485745
9357,2CXO J062220.0-002541,14656,QSO,0.22353743501427745,0.11966768081061542,0.44262700902731333,0.0803251288215649,0.1338427463262289
9361,2CXO J062233.8-622526,7569,QSO,0.30601837168883145,0.11370460316274503,0.44520125720848713,0.08564895067568729,0.049426817264249114
9366,2CXO J062313.5-001244,5479,QSO,0.250836606814773,0.09480458961519672,0.49085530890296225,0.09632466073737259,0.06717883392969541
9375,2CXO J062534.6-540017,13525,QSO,0.271755078697273,0.12570539066387781,0.4441816473716635,0.08585089281014123,0.07250699045704448
9381,2CXO J062648.6-543208,4944,HMXB,0.1408319141262064,0.30621422926429687,0.22858352447452618,0.047282824648476135,0.27708750748649447
9386,2CXO J062742.7-543830,4944,QSO,0.2877861359787962,0.15160583748789744,0.3453587119078128,0.14018476982585462,0.0750645447996389
9447,2CXO J063255.8+174644,16318,AGN,0.3556802875747268,0.07777967937831677,0.2810565950109767,0.2069964447274064,0.0784869933085733
9463,2CXO J063354.3+174614,16319,QSO,0.2324347362344534,0.13417559813669935,0.4406015445355386,0.12629222174382185,0.0664958993494867
9478,2CXO J063415.2+175100,15551,QSO,0.14954264596146613,0.25429164424128475,0.31351167481511416,0.05058293657335975,0.2320710984087751
9482,2CXO J063554.8-800814,14925,QSO,0.26136283042926395,0.12248702362170166,0.35483261334835475,0.10144311805146215,0.1598744145492174
9844,2CXO J064904.6-043237,2553,YSO,0.2579679455680843,0.2710197404882672,0.10679319487504839,0.0710498132555701,0.29316930581302997
9971,2CXO J070430.7-035250,12009,AGN,0.3897762790587659,0.12943451811317774,0.18423590062275572,0.21456977524346235,0.0819835269618382
9991,2CXO J071717.2+374231,4200,AGN,0.42410238881650925,0.043828235265865545,0.35328346338809324,0.14768519602655028,0.03110071650298182
10003,2CXO J071729.2+471440,4199,AGN,0.4286331258838954,0.023292476106298542,0.32549276889116047,0.1849898645309993,0.03759176458764614
10008,2CXO J071742.7+375404,16235,QSO,0.2482366066021017,0.06349192849179458,0.4529431291583535,0.14347288329134653,0.09185545245640363
10026,2CXO J071828.1+374438,16305,AGN,0.37543662983085296,0.015385756530007438,0.3153585356226809,0.2640113681828617,0.02980770983359709
10059,2CXO J071916.2-250250,4469,AGN,0.3137307806362383,0.21204539357925753,0.26600209463484376,0.10048299948795618,0.10773873166170428
10066,2CXO J072010.4+705736,14450,QSO,0.2525947716725863,0.12794386221521936,0.43701016048130853,0.1152252118838415,0.06722599374704423
10084,2CXO J072606.3+750853,12699,QSO,0.19573403776320022,0.10733034984952432,0.3376166611591034,0.08349031696143391,0.27582863426673815
10108,2CXO J073535.0-691724,2923,YSO,0.22448752579061163,0.2709779858766338,0.12351068712515557,0.09563418880982211,0.285389612397777
