,name,obsid,main_type,PartofG,Pulsar,Radio,Seyfert_2,YSO
8806,2CXO J053840.2-690559,16201,YSO,0.1994928886798099,0.2493861845718754,0.2564443707635801,0.01988538748488793,0.2747911684998467
8949,2CXO J053958.7-690609,17312,Radio,0.16428900372155353,0.2089726048124597,0.22831239870734513,0.17286763909852484,0.22555835366011673
9139,2CXO J054712.6-701353,1992,YSO,0.1944970203335751,0.2568470068303966,0.2572653537689419,0.015280154375368489,0.276110464691718
9145,2CXO J054735.9-702615,1992,YSO,0.19452275204012684,0.25673196750960586,0.2573506199916757,0.015257009374112259,0.2761376510844794
9150,2CXO J055008.5-702540,1992,YSO,0.19013527523568427,0.25108592932240803,0.25166647097988787,0.03709319301440221,0.27001913144761763
9238,2CXO J060745.3-062104,1882,YSO,0.19243421532398503,0.25331637315618805,0.2542966638453023,0.025247050986843156,0.2747056966876814
9961,2CXO J070401.5-112328,3751,YSO,0.1946477498552672,0.24336193741721798,0.24585787388292216,0.05276588664939161,0.26336655219520105
9966,2CXO J070411.9-112130,3751,YSO,0.19100095363680264,0.25055256230839884,0.2590684690038472,0.028925977207317023,0.27045203784363425
10099,2CXO J072946.0+745548,12699,YSO,0.18866307878257946,0.24287389380114535,0.26174886937721087,0.0434258107304392,0.263288347308625
10350,2CXO J083356.4-454005,12697,YSO,0.1910224459593029,0.2491735781096354,0.2531095393389529,0.03810018481928322,0.26859425177282575
10352,2CXO J083400.5-450125,12074,YSO,0.18588362731894464,0.2417835016674364,0.25233610000924805,0.06035289378171767,0.25964387722265314
10407,2CXO J083615.1-262433,2075,Seyfert_2,0.1402126159835087,0.1821180262323635,0.21201642083272979,0.2737284822921408,0.19192445465925728
10485,2CXO J084730.0+175045,12385,YSO,0.1883162390727149,0.2465644473653398,0.25303437752522473,0.04819536844137395,0.26388956759534665
10539,2CXO J085240.8+332502,4205,YSO,0.1706470556097773,0.22837716016924378,0.23176809435885684,0.13378153979526136,0.2354261500668608
10540,2CXO J085241.3+332505,4205,YSO,0.1706470556097773,0.22837716016924378,0.23176809435885684,0.13378153979526136,0.2354261500668608
10542,2CXO J085241.8+332536,4205,YSO,0.1706470556097773,0.22837716016924378,0.23176809435885684,0.13378153979526136,0.2354261500668608
10803,2CXO J092324.6+510640,6096,Radio,0.17275435253186458,0.22120434630076732,0.2572287729952288,0.11072488460188896,0.2380876435702503
10892,2CXO J094548.1-142206,3956,Radio,0.19282783425925856,0.2373202104236511,0.2733853699149743,0.041022859303990446,0.2554437260981256
11115,2CXO J095550.2+694045,380,Pulsar,0.14945388089080852,0.24856620293341783,0.20172153304709234,0.20015743981817044,0.20010094331051081
11117,2CXO J095550.2+694045,2933,Seyfert_2,0.15103922357392083,0.19356900682160658,0.20692040066441217,0.24020468194988326,0.20826668699017725
11119,2CXO J095550.2+694045,13796,Seyfert_2,0.1254159836722847,0.17272167561877572,0.18253590918201915,0.3551897320563027,0.16413669947061754
11121,2CXO J095550.2+694045,6361,YSO,0.1876947351897818,0.2475105629909244,0.25430646003387714,0.043585068277516466,0.26690317350790016
11193,2CXO J095619.7+694146,10545,YSO,0.1832807307095488,0.2208785494659547,0.2291079746824899,0.12894117308497954,0.2377915720570269
11703,2CXO J101623.6-585542,3855,YSO,0.18771695282871714,0.24791425482452553,0.2595196061008326,0.03847359859766023,0.2663755876482643
11708,2CXO J101720.9+413126,1520,YSO,0.19446756252845393,0.2568382018713985,0.2573599656726958,0.01523983686284742,0.2760944330646043
11714,2CXO J101805.6+214956,2760,YSO,0.16899747928020667,0.22168973610241358,0.2254065722056713,0.14559700580336193,0.23830920660834645
12267,2CXO J104356.1-593250,4495,YSO,0.17100679237621563,0.2191478755225774,0.23927210609821425,0.11217927361444044,0.25839395238855223
12590,2CXO J104413.1-594310,6402,YSO,0.19043028022552783,0.2502063246097465,0.25869212167823186,0.03535164028110413,0.2653196332053897
12599,2CXO J104417.4-603623,9495,YSO,0.18705478503702663,0.24418155589520135,0.24654748021277298,0.05749843834610076,0.26471774050889846
12734,2CXO J104511.8-595804,9492,YSO,0.04990714602556663,0.06495803400751142,0.0691153458084718,0.017948201144476882,0.7980712730139732
13052,2CXO J105410.3+573037,4936,YSO,0.19465265091901962,0.2566861944924821,0.2573449075939927,0.015199214340738811,0.27611703265376686
13068,2CXO J105659.1-033119,512,YSO,0.18337820165780125,0.2407755142778132,0.24903057818865287,0.06767695051072783,0.2591387553650049
13259,2CXO J111506.8-611535,12329,YSO,0.19326227197409832,0.25476210129967813,0.25574384434828684,0.017285842854131782,0.278945939523805
13378,2CXO J112011.0+531327,3951,YSO,0.19416538911079323,0.2570059045129335,0.2568210227584835,0.015326025838600071,0.2766816577791897
13407,2CXO J112100.1+530046,3951,YSO,0.19368972647747998,0.2557426363000231,0.2563370261918778,0.019204005824981822,0.2750266052056374
13502,2CXO J112829.5+583202,15619,Seyfert_2,0.09459254271814715,0.1191244107252079,0.1457545433187296,0.5126012025424239,0.12792730069549144
13503,2CXO J112829.5+583202,15077,Seyfert_2,0.11033256420599537,0.13991523034366948,0.16798381649640698,0.4313625206351738,0.15040586831875424
13519,2CXO J113006.3-144623,5708,YSO,0.17218912074933915,0.2267643244543117,0.24200124587444508,0.11004229048166511,0.249003018440239
13649,2CXO J114355.7+195635,514,Radio,0.1756344192625507,0.22714286958408292,0.24020103963475178,0.11772480611412636,0.23929686540448844
14146,2CXO J122107.5+292643,7079,Radio,0.1881084532770935,0.24529021452373018,0.26455396036382733,0.0396578439285862,0.26238952790676284
14196,2CXO J122416.0+125856,5908,Radio,0.18298574808219004,0.22703090579728183,0.26502200789764463,0.07760977136367336,0.24735156685921023
14264,2CXO J122546.1+123943,8056,Seyfert_2,0.141920949944515,0.1784961799181423,0.1894633744445507,0.31733942601889564,0.17278006967389636
14449,2CXO J123020.8+122248,7212,Radio,0.15529199672652239,0.2038198518523403,0.23394584178423808,0.18955860536113897,0.2173837042757603
14645,2CXO J123049.2+122334,5827,Radio,0.18788918602560453,0.24059420298405118,0.2737878458316133,0.03325314560520818,0.2644756195535228
14810,2CXO J123157.3+414616,1579,YSO,0.19056809613582779,0.252775263064833,0.25659813676147236,0.030716226252807635,0.2693422777850592
14841,2CXO J123519.2+123314,14359,Radio,0.17860966061280018,0.22465447506646669,0.2590625537618224,0.09585891595647804,0.24181439460243265
15554,2CXO J130522.8-492900,14984,YSO,0.15548060999812266,0.20483738042994706,0.2173258669089874,0.0558680056321516,0.36648813703079136
15560,2CXO J130525.4-492831,14984,YSO,0.1547814439214416,0.2034635320874706,0.21023443845759063,0.15271667754355667,0.27880390798994054
15637,2CXO J131106.8-010634,6930,Radio,0.19189627747626692,0.2461335916697647,0.2681366717758928,0.027925898960496378,0.2659075601175793
15657,2CXO J131154.3-624707,8922,YSO,0.1569198471937181,0.2076761677639884,0.2185270412638247,0.10110807646782737,0.3157688673106413
15759,2CXO J132439.1+362057,4055,YSO,0.1944834365619014,0.25655562408364735,0.2572088726625009,0.015175783606284294,0.2765762830856661
15873,2CXO J132521.2+362912,4055,YSO,0.18631559664353925,0.24085885260514178,0.25376354126644446,0.061168809089750455,0.25789320039512414
15885,2CXO J132522.8-430124,3965,Radio,0.20827058390027842,0.2144246744284767,0.2460128443696329,0.09664144542324472,0.23465045187836736
15889,2CXO J132522.8-430124,7797,YSO,0.20198015115163268,0.2183736511756402,0.2293284850713385,0.1149967619963542,0.23532095060503447
15907,2CXO J132523.6-430009,10722,YSO,0.17141425864162707,0.2181077109714366,0.2287173253612159,0.14700223871405632,0.23475846631166417
15929,2CXO J132526.7-430259,3965,Radio,0.16834419600720102,0.22041572018046215,0.30894868777107354,0.06432771565436286,0.23796368038690047
15965,2CXO J132527.9-430105,7798,Seyfert_2,0.15376294412596128,0.16049215416893275,0.20806566040845348,0.3060854940807644,0.17159374721588824
15967,2CXO J132527.9-430105,7800,Radio,0.18184243925782495,0.2375607203792741,0.265664741406434,0.059766691835494386,0.2551654071209725
15974,2CXO J132528.3-430103,7798,Seyfert_2,0.15376294412596128,0.16049215416893275,0.20806566040845348,0.3060854940807644,0.17159374721588824
