,name,obsid,main_type,HMXB,Orion_V*,QSO,TTau*,YSO
18137,2CXO J151343.9-590042,5535,HMXB,0.4416485119882762,0.0915178254281143,0.23574452413886568,0.11745753305638285,0.11363160538836084
18138,2CXO J151344.0-590045,6116,HMXB,0.4476599190098951,0.061157618030619594,0.25062248601236453,0.1347615571442351,0.10579841980288572
18139,2CXO J151344.0-590045,5535,HMXB,0.4416485119882762,0.0915178254281143,0.23574452413886568,0.11745753305638285,0.11363160538836084
18140,2CXO J151344.9-590044,3833,HMXB,0.5160722092378719,0.06785349316915461,0.2097285601102638,0.11995954743670174,0.08638619004600791
18141,2CXO J151344.9-590044,6116,HMXB,0.4476599190098951,0.061157618030619594,0.25062248601236453,0.1347615571442351,0.10579841980288572
18142,2CXO J151344.9-590044,5535,HMXB,0.4416485119882762,0.0915178254281143,0.23574452413886568,0.11745753305638285,0.11363160538836084
18145,2CXO J151345.4-590043,3833,HMXB,0.5160722092378719,0.06785349316915461,0.2097285601102638,0.11995954743670174,0.08638619004600791
18146,2CXO J151346.4-585933,9138,HMXB,0.3466689140408528,0.1657312922564541,0.24117085309397257,0.15264494290949226,0.09378399769922816
18147,2CXO J151346.5-590047,3833,HMXB,0.43463691516977715,0.0723291753626449,0.27031308362360196,0.12471806578042978,0.09800276006354623
18152,2CXO J151346.5-590047,3834,HMXB,0.369501003320221,0.12343717488201418,0.23306577616822038,0.11176905181175871,0.1622269938177858
18154,2CXO J151347.0-585948,5562,HMXB,0.4006304457061111,0.12073296228524118,0.21918378916071438,0.1389060715543773,0.12054673129355602
18155,2CXO J151347.0-585948,9138,HMXB,0.3577598560701222,0.1386368842618021,0.26842604593060304,0.1387842068334102,0.0963930069040625
18156,2CXO J151347.4-590038,9138,HMXB,0.39446871950164986,0.11827622632731126,0.16612361662163208,0.1438352218067407,0.17729621574266605
18179,2CXO J151349.7-590133,9138,HMXB,0.4089266709010654,0.13178906646344749,0.2597158686213257,0.14424661397483288,0.055321780039328486
18180,2CXO J151349.7-590133,5562,HMXB,0.3432835996013458,0.3063902298563777,0.14466363885510675,0.10689289477925816,0.09876963690791164
18188,2CXO J151350.8-590015,5562,HMXB,0.45726857455996467,0.09887179305043195,0.22569333404037342,0.1443969904613102,0.07376930788791979
18189,2CXO J151353.1-590009,9138,YSO,0.18620230613872224,0.154737507099697,0.12475923874754755,0.20639680741781985,0.3279041405962134
18190,2CXO J151353.1-590009,5562,HMXB,0.3466188313489906,0.16900070056693256,0.25975238645029025,0.1453528934426616,0.07927518819112503
18213,2CXO J151503.2+364948,3988,HMXB,0.6224014062017321,0.0497271610403926,0.1348618687250302,0.11417320815810651,0.07883635587473842
18256,2CXO J151651.8+070832,5807,Orion_V*,0.1912855189633513,0.3911418858480673,0.12398468763390733,0.1680341057407615,0.1255538018139124
18260,2CXO J151655.0+070155,5807,HMXB,0.3306061096912274,0.089486003435175,0.1438370486875407,0.31853463877896737,0.11753619940708963
18281,2CXO J152018.8-570725,10062,HMXB,0.2517858837695678,0.12218372577268576,0.17843579413544228,0.23083284793759176,0.2167617483847124
18287,2CXO J152158.1+074321,900,QSO,0.22395769918644431,0.2204247057297422,0.2731016087200062,0.1002515901991466,0.1822643961646605
18310,2CXO J152916.6-503335,8953,HMXB,0.4509823273306779,0.14853346329514397,0.10932989845982741,0.10523576630128235,0.18591854461306848
18329,2CXO J153225.9+240331,3138,QSO,0.14982218934488675,0.19976773313440851,0.3606240789997456,0.09428652440140786,0.19549947411955126
18333,2CXO J153242.4+324616,13907,Orion_V*,0.2359853233007522,0.2776004859889177,0.21418669707149218,0.08694095783079102,0.18528653580804688
18340,2CXO J153334.1-035411,3142,YSO,0.1954295002537033,0.2267229510668624,0.09374703751802804,0.23265199508016107,0.2514485160812452
18355,2CXO J153539.8-503501,9956,HMXB,0.5527925910760803,0.15051287122968138,0.11754762789143774,0.07535962874331707,0.10378728105948352
18357,2CXO J153606.2-284045,14807,QSO,0.2552563031581664,0.2756230121781675,0.29947010094047943,0.05608998578196415,0.11356059794122249
18387,2CXO J154204.9-522400,90,HMXB,0.32421027666642455,0.201977939322009,0.08529177322019559,0.19406246292395526,0.19445754786741562
18416,2CXO J154949.4+212557,326,QSO,0.24034689677265952,0.04497482523347332,0.4781807678122967,0.09173080466879491,0.14476670551277546
18422,2CXO J155012.4+212617,326,QSO,0.15331755647409906,0.14453677673058207,0.4929269076453096,0.07388031454032923,0.13533844460968006
18437,2CXO J155118.9-543047,12554,TTau*,0.1998152485340489,0.07733175200338545,0.27580067335196673,0.31685628895588214,0.13019603715471692
18438,2CXO J155119.8+200136,10244,TTau*,0.07840210755366436,0.27179425632591614,0.0664674061183785,0.31677305250561644,0.26656317749642466
18449,2CXO J155413.8-551329,13767,QSO,0.15545153283020746,0.1763131506487677,0.2817675165096014,0.19322916066389387,0.19323863934752955
18450,2CXO J155413.8-551329,13768,QSO,0.1640026316123972,0.1961745216605521,0.27377768661932383,0.21186552206680329,0.15417963804092363
18457,2CXO J155431.1-550935,1955,QSO,0.2527568278971124,0.09144903496998061,0.30325100804552513,0.13638292468040888,0.216160204406973
18458,2CXO J155443.2-550345,14430,HMXB,0.32200444741451123,0.1599536802038663,0.22247113177830696,0.23578878518068017,0.05978195542263544
18459,2CXO J155443.2-550345,13767,Orion_V*,0.1206685344951338,0.30144261913612774,0.05620273102252346,0.24707030393350732,0.27461581141270763
18481,2CXO J155614.5+662319,13020,HMXB,0.3141025042877002,0.15664181368503413,0.2767181469525297,0.17636460748719687,0.07617292758753906
18492,2CXO J155651.1+351646,6879,TTau*,0.1392117937153,0.20161882118136745,0.07663462345060801,0.3005797134262658,0.2819550482264588
18508,2CXO J155910.5+205355,11261,QSO,0.25805820487912157,0.14033893920894794,0.3618381073005456,0.14294188737247437,0.09682286123891044
18524,2CXO J160218.5-373438,5385,YSO,0.20042730158640376,0.23531879849678727,0.1465200531509024,0.14048040306031676,0.2772534437055899
18622,2CXO J161340.8-604530,9518,Orion_V*,0.20028460207990997,0.2625359521242306,0.08204957271787407,0.21947242042429316,0.2356574526536923
18624,2CXO J161359.0-835105,3477,HMXB,0.38107045801303413,0.13903257378142891,0.1173621640130893,0.08420984281455447,0.27832496137789314
18625,2CXO J161404.8-630022,2365,TTau*,0.17584637685951,0.23718514989293607,0.1004848013524389,0.2663535605603856,0.22013011133472943
18646,2CXO J161556.0+305929,10482,YSO,0.12196866392964936,0.2253686123402382,0.16512209413811166,0.17205077851043446,0.3154898510815662
18653,2CXO J161658.0-230841,1007,YSO,0.12740888635960382,0.2414286178823868,0.10811063961653034,0.21420243905312497,0.30884941708835406
18683,2CXO J162007.4-510243,15393,YSO,0.2235236690961776,0.1925889796690564,0.14095598507731588,0.13429328902703472,0.30863807713041536
18687,2CXO J162024.0-503707,14531,YSO,0.13542991611893812,0.24745592612990316,0.11315027431749737,0.19519529173712888,0.30876859169653237
18694,2CXO J162118.5+294207,3241,HMXB,0.25031361395946766,0.17969382839703826,0.21299071562352975,0.1836671014929808,0.17333474052698358
18700,2CXO J162142.0+151549,14911,YSO,0.17440597425315318,0.2478302944418086,0.10203937256636601,0.21979037038454824,0.25593398835412384
18701,2CXO J162156.2-495902,9911,YSO,0.15005820284701282,0.19886791100480575,0.0998698586020065,0.07810925411644792,0.47309477342972694
18730,2CXO J162446.8+154617,3229,Orion_V*,0.21519367253596297,0.3187305032538408,0.07375395081303862,0.15751336692575632,0.2348085064714013
18733,2CXO J162537.4+155017,3229,YSO,0.13649990868339681,0.28540498532648045,0.06082830111642699,0.17561817688551257,0.3416486279881831
18770,2CXO J162723.8-255245,7458,QSO,0.12051943819514194,0.2458695915662594,0.26682138501461145,0.1651505130362915,0.20163907218769567
18823,2CXO J163417.7-471122,12530,HMXB,0.29937478042302956,0.23072072440043365,0.2169720026727105,0.08771537097033794,0.16521712153348833
18854,2CXO J163925.1+464146,7892,Orion_V*,0.18408048354250162,0.26088804528364223,0.16792212202470377,0.18835690236465938,0.19875244678449294
18856,2CXO J163925.1+464146,14355,YSO,0.22283397623824086,0.20401893874855737,0.10463341639982976,0.14649619860097207,0.32201747001239983
18865,2CXO J163938.2-485656,4503,HMXB,0.30667950724723464,0.22340484641525749,0.19700409328821902,0.10316884384409845,0.16974270920519038
18889,2CXO J164021.9-484838,4503,YSO,0.1780697662245023,0.2514021642432959,0.15423508874499384,0.15843155396612457,0.2578614268210834
18903,2CXO J164044.5-683121,7813,Orion_V*,0.20208217047192586,0.3582206835453376,0.13937447410923864,0.1364272658202109,0.16389540605328698
18908,2CXO J164051.9+464104,14356,Orion_V*,0.18982417273901658,0.3646491842557446,0.06505517918898203,0.1375563945154396,0.2429150693008173
18909,2CXO J164051.9+464104,14355,TTau*,0.18201886481843155,0.19471987943719396,0.16830191134275646,0.3468176212679008,0.10814172313371717
18910,2CXO J164051.9+464104,14451,Orion_V*,0.20838948685882566,0.28822329225788057,0.08021645988180388,0.2578646750465643,0.1653060859549256
18913,2CXO J164059.7-485956,4503,HMXB,0.3410888345357,0.1872879058835408,0.16174901361831978,0.08883425769482789,0.22103998826761145
18944,2CXO J164656.1-455314,5411,HMXB,0.31436367300939044,0.1694057744273015,0.16373838992130554,0.21993411094819348,0.13255805169380896
18958,2CXO J164741.8+345732,12303,Orion_V*,0.17622002097144937,0.3081132611200107,0.09282503764910098,0.1542949780454532,0.2685467022139858
18968,2CXO J165106.5+050135,6257,QSO,0.3158795060671353,0.1590813237412672,0.3346634556294691,0.0673336680810576,0.12304204648107084
18993,2CXO J165334.4-414423,6291,HMXB,0.6003556386548728,0.054600389772969785,0.16823914848512236,0.056365537739684536,0.1204392853473505
18995,2CXO J165348.2-435805,4592,Orion_V*,0.14814246515329293,0.32074112382450254,0.10518333550011849,0.14285463487670444,0.2830784406453816
19054,2CXO J165426.4-414358,6291,YSO,0.09989835689165835,0.23352963252437478,0.08504159276456798,0.19794971609440895,0.38358070172498976
19057,2CXO J165429.8-414228,5372,HMXB,0.4869023115656685,0.15826602891236438,0.2312575142718483,0.09228146717484155,0.031292678075277185
19076,2CXO J165741.3+280721,4972,QSO,0.19340708170929122,0.10137643271309418,0.46138810190829943,0.158654646021978,0.08517373764733711
19169,2CXO J170341.9-223829,3921,QSO,0.2795107863234651,0.004039101736197901,0.6203565426755774,0.09538820428236912,0.0007053649823906616
19174,2CXO J170443.5+604452,2128,HMXB,0.36962455087589596,0.08817956728968471,0.25243711661060175,0.13870609285098198,0.1510526723728356
19180,2CXO J170802.5-250449,11041,YSO,0.11570392126805097,0.1983845191120598,0.17243116458166724,0.25340789626516763,0.26007249877305444
19183,2CXO J170905.5-443140,4608,YSO,0.11044855323392168,0.2145623993955754,0.11889305220387474,0.21729576923088292,0.33880022593574527
19185,2CXO J170928.2-442916,4608,TTau*,0.18030126618259928,0.1717044212307624,0.06452661520796338,0.35707993546834327,0.2263877619103317
19196,2CXO J171204.1-393210,12671,YSO,0.09509335952637771,0.3256006182494157,0.052400168908774664,0.1950706955548376,0.3318351577605943
19210,2CXO J171236.3-374104,13234,TTau*,0.17629631072574814,0.12740234083447213,0.22740788096731415,0.2707235893402669,0.19816987813219866
19226,2CXO J171412.8-293413,11073,HMXB,0.3515326616341091,0.22245048789775496,0.2366301044736867,0.09236609794899965,0.09702064804544941
19268,2CXO J171847.0-321013,5448,HMXB,0.33147692075592056,0.2614297112759784,0.15762830004812126,0.11728108663484854,0.13218398128513129
19272,2CXO J171914.9-361116,13436,TTau*,0.15909829238373985,0.18631822485271432,0.10997302820809214,0.3022688714284508,0.242341583127003
19273,2CXO J171914.9-361116,12382,YSO,0.1928112579522133,0.18627911705999675,0.16040843059832513,0.22490194790052884,0.23559924648893601
19329,2CXO J172058.3-194243,9957,YSO,0.2279704286942351,0.20999482174758446,0.15512337372874915,0.16670376285462157,0.24020761297480972
19336,2CXO J172206.0-361739,3844,Orion_V*,0.2355642113647119,0.27435611873628235,0.10897606801934603,0.2231751518468591,0.15792845003280065
19339,2CXO J172233.3-002633,2035,HMXB,0.3528824833920826,0.19483667766937793,0.21952507954807624,0.08314246708904134,0.14961329230142198
19441,2CXO J172534.0-342334,10987,QSO,0.31507832832920185,0.07971909045202326,0.42802943213311817,0.1234626819799115,0.053710467105745174
19494,2CXO J173025.7-670937,11024,HMXB,0.28821049526258147,0.13421700245919532,0.2539510951838238,0.14466935337603892,0.17895205371836048
19500,2CXO J173032.6-211936,6714,HMXB,0.28333786384509263,0.26378861774659557,0.07432598833154004,0.10323325210222184,0.2753142779745498
19512,2CXO J173036.6-213331,7366,YSO,0.1328301823294142,0.33633149067259693,0.0860414176523204,0.05601512533743642,0.38878178400823227
19525,2CXO J173040.2-212920,6714,HMXB,0.47503729817388435,0.07339218429817931,0.23561837083959256,0.1462852858931899,0.06966686079515381
19539,2CXO J173051.1-212514,6714,HMXB,0.35121744505802743,0.13749890440268325,0.29025149730453265,0.06580372482269385,0.15522842841206277
19573,2CXO J173402.6-215454,4583,YSO,0.18911769042197377,0.19102674598488556,0.09654836666883923,0.13932648836403197,0.3839807085602695
19583,2CXO J173617.3-444406,5505,QSO,0.25903394562065246,0.17845689677444568,0.2827968454170157,0.05793866117675265,0.22177365101113347
19603,2CXO J173948.2+100414,1989,Orion_V*,0.18854914149847435,0.24290937368781476,0.14808884747451848,0.20094964273615293,0.21950299460303954
19604,2CXO J173948.2+100414,11250,TTau*,0.17475255617278934,0.22377023533804816,0.153573177035547,0.24776713661407862,0.20013689483953687
19613,2CXO J174009.1-284725,8677,HMXB,0.56647352064605,0.043943479340882295,0.24155415675404968,0.08201592216996151,0.06601292108905647
19614,2CXO J174010.4-535053,7461,QSO,0.17292493111783228,0.24370842835077136,0.24719720848666987,0.1743133936587584,0.16185603838596818
19615,2CXO J174010.4-535053,7460,QSO,0.21627228661278175,0.10492475115149746,0.28342495613162627,0.2646248777454602,0.13075312835863448
19671,2CXO J174104.8-281503,8201,YSO,0.1980808567014093,0.1468625321132832,0.15420962663740329,0.22482453906676056,0.27602244548114363
